"dataset_id","scientific_name","common_name","site_name","colony_name","lat_colony","lon_colony","device","bird_id","track_id","original_track_id","age","sex","breed_stage","breed_status","date_gmt","time_gmt","latitude","longitude","argos_quality","equinox"
1386,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GPS","HT65423",82164,"IGOT0108_20150110000100","adult","male","incubation","breeding",2015-01-16,"20:15:00",-45.67162,-60.18544,NA,NA
1386,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GPS","HT65423",82164,"IGOT0108_20150110000100","adult","male","incubation","breeding",2015-01-16,"20:49:00",-45.67379,-60.20473,NA,NA
1386,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GPS","HT65423",82164,"IGOT0108_20150110000100","adult","male","incubation","breeding",2015-01-16,"21:20:00",-45.64426,-60.16202,NA,NA
1386,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GPS","HT65423",82164,"IGOT0108_20150110000100","adult","male","incubation","breeding",2015-01-16,"21:51:00",-45.63261,-60.15037,NA,NA
1386,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GPS","HT65423",82164,"IGOT0108_20150110000100","adult","male","incubation","breeding",2015-01-16,"22:21:00",-45.62154,-60.14164,NA,NA
1386,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GPS","HT65423",82164,"IGOT0108_20150110000100","adult","male","incubation","breeding",2015-01-16,"22:53:00",-45.62951,-60.14304,NA,NA
1386,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GPS","HT65423",82164,"IGOT0108_20150110000100","adult","male","incubation","breeding",2015-01-16,"23:33:00",-45.61429,-60.13626,NA,NA
1386,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GPS","HT65423",82164,"IGOT0108_20150110000100","adult","male","incubation","breeding",2015-01-17,"00:04:00",-45.60126,-60.13093,NA,NA
1386,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GPS","HT65423",82164,"IGOT0108_20150110000100","adult","male","incubation","breeding",2015-01-17,"00:42:00",-45.53023,-60.12191,NA,NA
1386,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GPS","HT65423",82164,"IGOT0108_20150110000100","adult","male","incubation","breeding",2015-01-17,"01:12:00",-45.53586,-60.14038,NA,NA
