"sp_files","n_used","eezs_used","eezs_sovereigns_used"
"Ardenna pacifica_USA.tif",2,"Hawaii_NA","United States_NA"
"Ardenna tenuirostris_Australia.tif",26,"Kuril Islands_Japan_North Korea_Liancourt Rocks_Australia_South Korea_Russia_Northern Mariana Islands_United States_Norfolk Island_Alaska_Matthew and Hunter Islands_NA_Hawaii_New Caledonia_New Zealand_Vanuatu_Micronesia_Macquarie Island_Marshall Islands_Solomon Islands_Fiji_Nauru_Papua New Guinea_Gilbert Islands_Antarctica","Japan_Japan_North Korea_Japan_Australia_South Korea_Russia_United States_United States_Australia_United States_France_NA_United States_France_New Zealand_Vanuatu_Micronesia_Australia_Marshall Islands_Solomon Islands_Fiji_Nauru_Papua New Guinea_Kiribati_Antarctica"
"Bulweria bulwerii_Cape Verde.tif",18,"Cape Verde_Trindade_Guinea-Bissau_Ascension_Senegal_Azores_Senegal_Gambia_Brazil_Guinea_NA_Saint Helena_Canary Islands_Mauritania_Sierra Leone_Western Sahara_Liberia_Ivory Coast","Cape Verde_Brazil_Guinea-Bissau_United Kingdom_Senegal_Portugal_Senegal_Gambia_Brazil_Guinea_NA_United Kingdom_Spain_Mauritania_Sierra Leone_Western Sahara_Liberia_Ivory Coast"
"Bulweria bulwerii_Portugal.tif",25,"Madeira_Canary Islands_Azores_Portugal_Trindade_Morocco_Western Sahara_NA_Tristan da Cunha_Cape Verde_Brazil_Spain_Ascension_Guinea-Bissau_Saint Helena_Mauritania_Guinea_Senegal_Senegal_Gambia_Sierra Leone_Canada_Ghana_Liberia_Ivory Coast","Portugal_Spain_Portugal_Portugal_Brazil_Morocco_Western Sahara_NA_United Kingdom_Cape Verde_Brazil_Spain_United Kingdom_Guinea-Bissau_United Kingdom_Mauritania_Guinea_Senegal_Senegal_Gambia_Sierra Leone_Canada_Ghana_Liberia_Ivory Coast"
"Bulweria bulwerii_Spain.tif",22,"Canary Islands_Madeira_Azores_Western Sahara_Morocco_Trindade_NA_Tristan da Cunha_Cape Verde_Portugal_Brazil_Saint Helena_Ascension_Guinea-Bissau_Mauritania_Senegal_Senegal_Gambia_Guinea_Sierra Leone_Liberia_Ivory Coast","Spain_Portugal_Portugal_Western Sahara_Morocco_Brazil_NA_United Kingdom_Cape Verde_Portugal_Brazil_United Kingdom_United Kingdom_Guinea-Bissau_Mauritania_Senegal_Senegal_Gambia_Guinea_Sierra Leone_Liberia_Ivory Coast"
"Calonectris borealis_Portugal.tif",71,"Ceuta_Perejil Island_Gibraltar_Azores_South Africa_Madeira_Canary Islands_Uruguay_Mozambique_Morocco_Namibia_Europa Island_Brazil_Uruguay_Trindade_Bassas da India_Portugal_Spain_Western Sahara_Tristan da Cunha_NA_Réunion_Argentina_Madagascar_Juan de Nova Island_France_Saint Helena_Antigua and Barbuda_Angola_Comores_Cape Verde_Ascension_Guinea-Bissau_Ile Tromelin_Guadeloupe_Mauritania_Mayotte_France_French Guiana_Guinea_Suriname_Dominica_Senegal_Republic of Mauritius_Senegal_Barbados_Guyana_Ireland_Gambia_Guyana_Sierra Leone_Martinique_Canada_Jersey_Barbados_Trinidad and Tobago_Liberia_United Kingdom_Guernsey_Ivory Coast_Saint-Pierre and Miquelon_Greenland_Iceland_United Kingdom_Ghana_Nigeria_Sao Tome and Principe_Faeroe_Prince Edward Islands_Falkland / Malvinas Islands_South Georgia and the South Sandwich Islands","Spain_Spain_United Kingdom_Portugal_South Africa_Portugal_Spain_Uruguay_Mozambique_Morocco_Namibia_France_Brazil_Uruguay_Brazil_France_Portugal_Spain_Western Sahara_United Kingdom_NA_France_Argentina_Madagascar_France_France_United Kingdom_Antigua and Barbuda_Angola_Comores_Cape Verde_United Kingdom_Guinea-Bissau_France_France_Mauritania_France_France_France_Guinea_Suriname_Dominica_Senegal_Republic of Mauritius_Senegal_Barbados_Guyana_Ireland_Gambia_Guyana_Sierra Leone_France_Canada_United Kingdom_Barbados_Trinidad and Tobago_Liberia_United Kingdom_United Kingdom_Ivory Coast_France_Denmark_Iceland_United Kingdom_Ghana_Nigeria_Sao Tome and Principe_Denmark_South Africa_United Kingdom_United Kingdom"
"Calonectris borealis_Spain.tif",45,"Canary Islands_Madeira_South Africa_Western Sahara_Mozambique_Morocco_Uruguay_Namibia_Europa Island_Guinea-Bissau_Trindade_Uruguay_Tristan da Cunha_Bassas da India_Brazil_Portugal_Guinea_Mauritania_Juan de Nova Island_Sierra Leone_Azores_NA_Gambia_Democratic Republic of the Congo_Argentina_Senegal_Madagascar_Senegal_Angola_Spain_Ascension_Cape Verde_Republic of the Congo_Saint Helena_Liberia_Ireland_Comores_Ivory Coast_Gabon_Mayotte_Ghana_Equatorial Guinea_United Kingdom_France_Canada","Spain_Portugal_South Africa_Western Sahara_Mozambique_Morocco_Uruguay_Namibia_France_Guinea-Bissau_Brazil_Uruguay_United Kingdom_France_Brazil_Portugal_Guinea_Mauritania_France_Sierra Leone_Portugal_NA_Gambia_Democratic Republic of the Congo_Argentina_Senegal_Madagascar_Senegal_Angola_Spain_United Kingdom_Cape Verde_Republic of the Congo_United Kingdom_Liberia_Ireland_Comores_Ivory Coast_Gabon_France_Ghana_Equatorial Guinea_United Kingdom_France_Canada"
"Calonectris diomedea_Italy.tif",56,"Tunisia_Malta_Libya_Italy_Vatican City_Monaco_Croatia_San Marino_Montenegro_Algeria_Albania_France_France_Spain_Ceuta_Perejil Island_Gibraltar_Melilla_Greece_Morocco_Guinea-Bissau_Guinea_Madeira_Canary Islands_Portugal_Azores_Sierra Leone_Gambia_Western Sahara_Senegal_Angola_Anguilla_Senegal_Bermuda_Equatorial Guinea_British Virgin Islands_Antigua and Barbuda_Mauritania_France_Ghana_Republic of the Congo_Liberia_Cape Verde_NA_Ivory Coast_Guadeloupe_Sao Tome and Principe_Togo_Sao Tome and Principe_Gabon_Benin_Canada_Ireland_United Kingdom_Saint-Pierre and Miquelon_Brazil","Tunisia_Malta_Libya_Italy_Vatican City_Monaco_Croatia_San Marino_Montenegro_Algeria_Albania_France_France_Spain_Spain_Spain_United Kingdom_Spain_Greece_Morocco_Guinea-Bissau_Guinea_Portugal_Spain_Portugal_Portugal_Sierra Leone_Gambia_Western Sahara_Senegal_Angola_United Kingdom_Senegal_United Kingdom_Equatorial Guinea_United Kingdom_Antigua and Barbuda_Mauritania_France_Ghana_Republic of the Congo_Liberia_Cape Verde_NA_Ivory Coast_France_Sao Tome and Principe_Togo_Sao Tome and Principe_Gabon_Benin_Canada_Ireland_United Kingdom_France_Brazil"
"Calonectris diomedea_Malta.tif",58,"Malta_Tunisia_Libya_Italy_Vatican City_Albania_Croatia_Algeria_San Marino_Ceuta_Perejil Island_Gibraltar_Melilla_Montenegro_Greece_Spain_Monaco_France_Morocco_Guinea-Bissau_France_Madeira_Democratic Republic of the Congo_Canary Islands_Guinea_Republic of the Congo_Portugal_Azores_Western Sahara_Senegal_Gambia_Senegal_Sierra Leone_Angola_Gabon_Mauritania_Cape Verde_France_Ghana_French Guiana_Ivory Coast_NA_Ascension_Liberia_Namibia_Poland_Suriname_Equatorial Guinea_Germany_Denmark_Guadeloupe_United Kingdom_Ireland_Brazil_Sweden_Barbados_Canada_Russia","Malta_Tunisia_Libya_Italy_Vatican City_Albania_Croatia_Algeria_San Marino_Spain_Spain_United Kingdom_Spain_Montenegro_Greece_Spain_Monaco_France_Morocco_Guinea-Bissau_France_Portugal_Democratic Republic of the Congo_Spain_Guinea_Republic of the Congo_Portugal_Portugal_Western Sahara_Senegal_Gambia_Senegal_Sierra Leone_Angola_Gabon_Mauritania_Cape Verde_France_Ghana_France_Ivory Coast_NA_United Kingdom_Liberia_Namibia_Poland_Suriname_Equatorial Guinea_Germany_Denmark_France_United Kingdom_Ireland_Brazil_Sweden_Barbados_Canada_Russia"
"Calonectris diomedea_Spain.tif",67,"Melilla_Ceuta_Perejil Island_Gibraltar_Algeria_Spain_Morocco_Monaco_Italy_Tunisia_France_France_Democratic Republic of the Congo_France_Jersey_Canary Islands_Republic of the Congo_Vatican City_Madeira_Portugal_Angola_Western Sahara_San Marino_Guinea-Bissau_Gabon_Guinea_Croatia_Ghana_Azores_Equatorial Guinea_Sierra Leone_Benin_Ivory Coast_Mauritania_Netherlands_Gambia_Guernsey_Senegal_Senegal_Namibia_Sao Tome and Principe_Togo_Nigeria_Sao Tome and Principe_Liberia_Trindade_Cape Verde_NA_Ascension_United Kingdom_Barbados_Ireland_Barbados_Martinique_Dominica_Libya_Guyana_Guadeloupe_Suriname_Saint Helena_Canada_French Guiana_Guyana_Brazil_Trinidad and Tobago_Saint-Pierre and Miquelon_Greenland","Spain_Spain_Spain_United Kingdom_Algeria_Spain_Morocco_Monaco_Italy_Tunisia_France_France_Democratic Republic of the Congo_France_United Kingdom_Spain_Republic of the Congo_Vatican City_Portugal_Portugal_Angola_Western Sahara_San Marino_Guinea-Bissau_Gabon_Guinea_Croatia_Ghana_Portugal_Equatorial Guinea_Sierra Leone_Benin_Ivory Coast_Mauritania_Netherlands_Gambia_United Kingdom_Senegal_Senegal_Namibia_Sao Tome and Principe_Togo_Nigeria_Sao Tome and Principe_Liberia_Brazil_Cape Verde_NA_United Kingdom_United Kingdom_Barbados_Ireland_Barbados_France_Dominica_Libya_Guyana_France_Suriname_United Kingdom_Canada_France_Guyana_Brazil_Trinidad and Tobago_France_Denmark"
