"sp_files","n_used","eezs_used","eezs_sovereigns_used"
"Pachyptila desolata_UK.tif",9,"Uruguay_Uruguay_Brazil_Argentina_NA_South Georgia and the South Sandwich Islands_Falkland / Malvinas Islands_Antarctica_Chile","Uruguay_Uruguay_Brazil_Argentina_NA_United Kingdom_United Kingdom_Antarctica_Chile"
"Pachyptila macgillivrayi_UK.tif",6,"Tristan da Cunha_NA_Uruguay_South Georgia and the South Sandwich Islands_Falkland / Malvinas Islands_Brazil","United Kingdom_NA_Uruguay_United Kingdom_United Kingdom_Brazil"
"Pachyptila turtur_Australia.tif",2,"Australia_NA","Australia_NA"
"Pachyptila turtur_New Zealand.tif",2,"New Zealand_NA","New Zealand_NA"
"Pachyptila vittata_UK.tif",4,"Tristan da Cunha_NA_South Africa_South Georgia and the South Sandwich Islands","United Kingdom_NA_South Africa_United Kingdom"
"Pagodroma nivea_Antarctica.tif",7,"Heard and McDonald Islands_Bouvet_Antarctica_NA_South Georgia and the South Sandwich Islands_Kerguélen_Prince Edward Islands","Australia_Norway_Antarctica_NA_United Kingdom_France_South Africa"
"Pelagodroma marina_Cape Verde.tif",7,"Cape Verde_Senegal_Mauritania_Gambia_Western Sahara_Senegal_NA","Cape Verde_Senegal_Mauritania_Gambia_Western Sahara_Senegal_NA"
"Pelagodroma marina_Portugal.tif",5,"Madeira_Canary Islands_Morocco_Western Sahara_NA","Portugal_Spain_Morocco_Western Sahara_NA"
"Pelecanoides garnotii_Peru.tif",2,"Peru_NA","Peru_NA"
"Pelecanoides georgicus_UK.tif",4,"Tristan da Cunha_South Georgia and the South Sandwich Islands_NA_Antarctica","United Kingdom_United Kingdom_NA_Antarctica"
"Pelecanoides urinatrix_Australia.tif",1,"Australia","Australia"
"Pelecanoides urinatrix_New Zealand.tif",2,"New Zealand_NA","New Zealand_NA"
"Pelecanoides urinatrix_UK.tif",5,"Tristan da Cunha_South Georgia and the South Sandwich Islands_NA_Bouvet_Antarctica","United Kingdom_United Kingdom_NA_Norway_Antarctica"
"Pelecanoides whenuahouensis_New Zealand.tif",5,"New Zealand_Macquarie Island_NA_Australia_Antarctica","New Zealand_Australia_NA_Australia_Antarctica"
"Procellaria aequinoctialis_France.tif",30,"South Africa_Namibia_Democratic Republic of the Congo_Amsterdam and Saint Paul Islands_Mozambique_Republic of the Congo_Réunion_Angola_Europa Island_Madagascar_NA_Republic of Mauritius_Bassas da India_Glorioso Islands_Mayotte_Ile Tromelin_Comores_Gabon_Juan de Nova Island_Tanzania_Kerguélen_Crozet Islands_Chagos Archipelago_Australia_Heard and McDonald Islands_Prince Edward Islands_Cocos Islands_Seychelles_Maldives_Antarctica","South Africa_Namibia_Democratic Republic of the Congo_France_Mozambique_Republic of the Congo_France_Angola_France_Madagascar_NA_Republic of Mauritius_France_Madagascar_France_France_Comores_Gabon_France_Tanzania_France_France_Mauritius_Australia_Australia_South Africa_Australia_Seychelles_Maldives_Antarctica"
"Procellaria aequinoctialis_New Zealand.tif",16,"Islas San Félix and San Ambrosio_New Zealand_Chile_Tonga_French Polynesia_Pitcairn_Peru_Norfolk Island_NA_Matthew and Hunter Islands_Cook Islands_Fiji_Niue_Argentina_Macquarie Island_Antarctica","Chile_New Zealand_Chile_Tonga_France_United Kingdom_Peru_Australia_NA_France_New Zealand_Fiji_New Zealand_Argentina_Australia_Antarctica"
"Procellaria aequinoctialis_South Africa.tif",8,"South Africa_Namibia_Prince Edward Islands_NA_Angola_Crozet Islands_Mozambique_Antarctica","South Africa_Namibia_South Africa_NA_Angola_France_Mozambique_Antarctica"
"Procellaria aequinoctialis_UK.tif",9,"Uruguay_Uruguay_Argentina_Brazil_Falkland / Malvinas Islands_Chile_NA_South Georgia and the South Sandwich Islands_Antarctica","Uruguay_Uruguay_Argentina_Brazil_United Kingdom_Chile_NA_United Kingdom_Antarctica"
"Procellaria cinerea_France.tif",7,"Amsterdam and Saint Paul Islands_NA_Kerguélen_Australia_Cocos Islands_Heard and McDonald Islands_Antarctica","France_NA_France_Australia_Australia_Australia_Antarctica"
"Procellaria cinerea_New Zealand.tif",7,"New Zealand_NA_Macquarie Island_French Polynesia_Australia_Chile_Antarctica","New Zealand_NA_Australia_France_Australia_Chile_Antarctica"
"Procellaria cinerea_South Africa.tif",7,"Tristan da Cunha_Prince Edward Islands_South Africa_NA_Crozet Islands_Bouvet_Antarctica","United Kingdom_South Africa_South Africa_NA_France_Norway_Antarctica"
"Procellaria cinerea_UK.tif",12,"Tristan da Cunha_Uruguay_Uruguay_Argentina_NA_Falkland / Malvinas Islands_South Georgia and the South Sandwich Islands_Ascension_Brazil_Antarctica_Chile_Bouvet","United Kingdom_Uruguay_Uruguay_Argentina_NA_United Kingdom_United Kingdom_United Kingdom_Brazil_Antarctica_Chile_Norway"
"Procellaria conspicillata_UK.tif",8,"Tristan da Cunha_Uruguay_Brazil_Uruguay_NA_Argentina_South Africa_Namibia","United Kingdom_Uruguay_Brazil_Uruguay_NA_Argentina_South Africa_Namibia"
"Procellaria parkinsoni_New Zealand.tif",45,"Ecuador_Ecuador_Colombia_Easter Island_Peru_Norfolk Island_Panama_New Zealand_Pitcairn_Matthew and Hunter Islands_Costa Rica_Peru_Costa Rica_Galapagos_Islas San Félix and San Ambrosio_Honduras_New Caledonia_Cuba_Australia_French Polynesia_Belize_Navassa Island_NA_Tonga_Honduras_Mexico_Fiji_Cook Islands_Jamaica_United States_Cayman Islands_Haiti_Guatemala_Niue_Vanuatu_Dominican Republic_Samoa_Johnston Atoll_Bahamas_American Samoa_Chile_Solomon Islands_Wallis and Futuna_Venezuela_Nicaragua","Ecuador_Ecuador_Colombia_Chile_Peru_Australia_Panama_New Zealand_United Kingdom_France_Costa Rica_Peru_Costa Rica_Ecuador_Chile_Honduras_France_Cuba_Australia_France_Belize_Haiti_NA_Tonga_Honduras_Mexico_Fiji_New Zealand_Jamaica_United States_United Kingdom_Haiti_Guatemala_New Zealand_Vanuatu_Dominican Republic_Samoa_United States_Bahamas_United States_Chile_Solomon Islands_France_Venezuela_Nicaragua"
"Procellaria westlandica_New Zealand.tif",6,"New Zealand_Chile_Argentina_Norfolk Island_Falkland / Malvinas Islands_NA","New Zealand_Chile_Argentina_Australia_United Kingdom_NA"
"Pseudobulweria aterrima_France.tif",35,"Réunion_Republic of Mauritius_Madagascar_Ile Tromelin_Glorioso Islands_Mayotte_Pakistan_Andaman and Nicobar_Europa Island_Maldives_Sri Lanka_India_Seychelles_Amsterdam and Saint Paul Islands_Juan de Nova Island_Comores_Bangladesh_Bassas da India_NA_Oman_Chagos Archipelago_Cocos Islands_Myanmar_Federal Republic of Somalia_Kenya_Tanzania_Mozambique_Yemen_Iran_Kenya_Christmas Island_South Africa_Australia_Thailand_Indonesia","France_Republic of Mauritius_Madagascar_France_Madagascar_France_Pakistan_India_France_Maldives_Sri Lanka_India_Seychelles_France_France_Comores_Bangladesh_France_NA_Oman_Mauritius_Australia_Myanmar_Federal Republic of Somalia_Kenya_Tanzania_Mozambique_Yemen_Iran_Kenya_Australia_South Africa_Australia_Thailand_Indonesia"
"Pseudobulweria rostrata_France.tif",8,"New Caledonia_Norfolk Island_Matthew and Hunter Islands_Vanuatu_Fiji_NA_Australia_Solomon Islands","France_Australia_France_Vanuatu_Fiji_NA_Australia_Solomon Islands"
"Pterodroma arminjoniana_Brazil.tif",18,"Trindade_Bermuda_United States_NA_Brazil_Azores_Bahamas_Antigua and Barbuda_Guadeloupe_Canada_Dominica_Anguilla_Martinique_Barbados_Saint-Pierre and Miquelon_French Guiana_Cape Verde_South Georgia and the South Sandwich Islands","Brazil_United Kingdom_United States_NA_Brazil_Portugal_Bahamas_Antigua and Barbuda_France_Canada_Dominica_United Kingdom_France_Barbados_France_France_Cape Verde_United Kingdom"
"Pterodroma arminjoniana_Mauritius.tif",0,"",""
"Pterodroma axillaris_New Zealand.tif",NA,NA,NA
"Pterodroma baraui_France.tif",NA,NA,NA
"Pterodroma cahow_UK.tif",NA,NA,NA
"Pterodroma cervicalis_Australia.tif",NA,NA,NA
"Pterodroma cookii_New Zealand.tif",NA,NA,NA
"Pterodroma deserta_Portugal.tif",NA,NA,NA
"Pterodroma feae_Cape Verde.tif",NA,NA,NA
"Pterodroma gouldi_New Zealand.tif",NA,NA,NA
"Pterodroma hasitata_Dominican Republic.tif",NA,NA,NA
"Pterodroma incerta_UK.tif",NA,NA,NA
"Pterodroma inexpectata_New Zealand.tif",NA,NA,NA
"Pterodroma lessonii_New Zealand.tif",NA,NA,NA
"Pterodroma leucoptera_Australia.tif",NA,NA,NA
"Pterodroma leucoptera_France.tif",NA,NA,NA
"Pterodroma macroptera_South Africa.tif",NA,NA,NA
"Pterodroma madeira_Portugal.tif",NA,NA,NA
"Pterodroma magentae_New Zealand.tif",NA,NA,NA
"Pterodroma mollis_New Zealand.tif",NA,NA,NA
"Pterodroma mollis_UK.tif",NA,NA,NA
"Pterodroma neglecta_Australia.tif",NA,NA,NA
"Pterodroma nigripennis_Australia.tif",NA,NA,NA
"Pterodroma nigripennis_New Zealand.tif",NA,NA,NA
"Pterodroma phaeopygia_Ecuador.tif",NA,NA,NA
"Pterodroma pycrofti_New Zealand.tif",NA,NA,NA
"Pterodroma sandwichensis_USA.tif",NA,NA,NA
"Pterodroma solandri_Australia.tif",NA,NA,NA
"Pterodroma ultima_UK.tif",NA,NA,NA
"Puffinus assimilis_Australia.tif",NA,NA,NA
"Puffinus assimilis_New Zealand.tif",NA,NA,NA
"Puffinus bailloni_Seychelles.tif",NA,NA,NA
"Puffinus gavia_New Zealand.tif",NA,NA,NA
"Puffinus huttoni_New Zealand.tif",NA,NA,NA
"Puffinus lherminieri_Cape Verde.tif",NA,NA,NA
"Puffinus lherminieri_Portugal.tif",NA,NA,NA
"Puffinus mauretanicus_Spain.tif",NA,NA,NA
"Puffinus newelli_USA.tif",NA,NA,NA
"Puffinus opisthomelas_Mexico.tif",NA,NA,NA
"Puffinus puffinus_Iceland.tif",NA,NA,NA
"Puffinus puffinus_Ireland.tif",NA,NA,NA
"Puffinus puffinus_UK.tif",NA,NA,NA
"Puffinus yelkouan_France.tif",NA,NA,NA
"Puffinus yelkouan_Malta.tif",NA,NA,NA
"Thalassoica antarctica_Antarctica.tif",NA,NA,NA
