"sp_country","seasons","n_pops","score","species","breeding_country"
"Pseudobulweria aterrima_France",1,1,14.3836,"Pseudobulweria aterrima","France"
"Pseudobulweria rostrata_France",0.5,1,1.7385,"Pseudobulweria rostrata","France"
"Pterodroma arminjoniana_Mauritius",1,1,16.1223,"Pterodroma arminjoniana","Mauritius"
"Pterodroma arminjoniana_Brazil",1,1,26.2362,"Pterodroma arminjoniana","Brazil"
"Pterodroma axillaris_New Zealand",1,1,2.4708,"Pterodroma axillaris","New Zealand"
"Pterodroma baraui_France",1,1,20.3328,"Pterodroma baraui","France"
"Pterodroma cahow_UK",1,1,10.4555,"Pterodroma cahow","UK"
"Pterodroma cervicalis_Australia",0.5,1,4.9855,"Pterodroma cervicalis","Australia"
"Pterodroma cookii_New Zealand",1,2,81.0723,"Pterodroma cookii","New Zealand"
"Pterodroma deserta_Portugal",1,1,8.5648,"Pterodroma deserta","Portugal"
"Pterodroma feae_Cape Verde",1,1,1.3037,"Pterodroma feae","Cape Verde"
"Pterodroma gouldi_New Zealand",0.5,1,3.9477,"Pterodroma gouldi","New Zealand"
"Pterodroma hasitata_Dominican Republic",1,1,8.9047,"Pterodroma hasitata","Dominican Republic"
"Pterodroma incerta_UK",1,1,17.2621,"Pterodroma incerta","UK"
"Pterodroma inexpectata_New Zealand",1,1,9.227,"Pterodroma inexpectata","New Zealand"
"Pterodroma lessonii_New Zealand",1,1,0.8003,"Pterodroma lessonii","New Zealand"
"Pterodroma leucoptera_Australia",1,1,5.3357,"Pterodroma leucoptera","Australia"
"Pterodroma leucoptera_France",1,1,2.507,"Pterodroma leucoptera","France"
"Pterodroma macroptera_South Africa",0.5,1,5.6667,"Pterodroma macroptera","South Africa"
"Pterodroma madeira_Portugal",1,1,4.2259,"Pterodroma madeira","Portugal"
"Pterodroma magentae_New Zealand",1,1,4.0519,"Pterodroma magentae","New Zealand"
"Pterodroma mollis_New Zealand",1,1,1.5927,"Pterodroma mollis","New Zealand"
"Pterodroma mollis_UK",1,1,16.7171,"Pterodroma mollis","UK"
"Pterodroma neglecta_Australia",0.5,1,4.9527,"Pterodroma neglecta","Australia"
"Pterodroma nigripennis_New Zealand",1,1,39.3086,"Pterodroma nigripennis","New Zealand"
"Pterodroma nigripennis_Australia",0.5,1,4.5964,"Pterodroma nigripennis","Australia"
"Pterodroma phaeopygia_Ecuador",0.5,1,0.4946,"Pterodroma phaeopygia","Ecuador"
"Pterodroma pycrofti_New Zealand",1,1,1.7889,"Pterodroma pycrofti","New Zealand"
"Pterodroma sandwichensis_USA",0.5,1,101.6596,"Pterodroma sandwichensis","USA"
"Pterodroma solandri_Australia",1,1,24.5451,"Pterodroma solandri","Australia"
"Pterodroma ultima_UK",1,1,20.944,"Pterodroma ultima","UK"
"Puffinus assimilis_New Zealand",1,1,2.8665,"Puffinus assimilis","New Zealand"
"Puffinus assimilis_Australia",1,1,4.4649,"Puffinus assimilis","Australia"
"Puffinus bailloni_Seychelles",1,1,1.962,"Puffinus bailloni","Seychelles"
"Puffinus gavia_New Zealand",1,1,5.3033,"Puffinus gavia","New Zealand"
"Puffinus huttoni_New Zealand",0.5,1,2.9835,"Puffinus huttoni","New Zealand"
"Puffinus lherminieri_Portugal",1,2,4.9717,"Puffinus lherminieri","Portugal"
"Puffinus lherminieri_Cape Verde",1,1,1.0209,"Puffinus lherminieri","Cape Verde"
"Puffinus mauretanicus_Spain",0.5,1,449.4213,"Puffinus mauretanicus","Spain"
"Puffinus newelli_USA",0.5,1,87.2343,"Puffinus newelli","USA"
"Puffinus opisthomelas_Mexico",0.5,1,4.0771,"Puffinus opisthomelas","Mexico"
"Puffinus puffinus_Iceland",1,1,3.0738,"Puffinus puffinus","Iceland"
"Puffinus puffinus_Ireland",0.5,1,1.4,"Puffinus puffinus","Ireland"
"Puffinus puffinus_UK",1,1,5.6782,"Puffinus puffinus","UK"
"Puffinus yelkouan_France",1,1,422.9843,"Puffinus yelkouan","France"
"Puffinus yelkouan_Malta",1,1,736.6987,"Puffinus yelkouan","Malta"
"Thalassoica antarctica_Antarctica",1,2,0.0185,"Thalassoica antarctica","Antarctica"
