"iucn","sum","mean","n","Exposure","Species"
"CR",515.82850667,85.9714177783333,6,0.239446242506762,0.0779220779220779
"EN",176.021613788,17.6021613788,10,0.081708772346847,0.12987012987013
"LC",582.118381648842,16.1699550458012,36,0.270217828944271,0.467532467532468
"NT",87.3935110381894,9.71039011535438,9,0.0405678390530578,0.116883116883117
"VU",792.893995509739,49.5558747193587,16,0.368059317149062,0.207792207792208
