"UNION","MRGID_EEZ","TERRITORY1","MRGID_TER1","ISO_TER1","UN_TER1","SOVEREIGN1","MRGID_SOV1","ISO_SOV1","UN_SOV1","TERRITORY2","MRGID_TER2","ISO_TER2","UN_TER2","SOVEREIGN2","MRGID_SOV2","ISO_SOV2","UN_SOV2","TERRITORY3","MRGID_TER3","ISO_TER3","UN_TER3","SOVEREIGN3","MRGID_SOV3","ISO_SOV3","UN_SOV3","POL_TYPE","Y_1","x_1","AREA_KM2","id","over","prop","sp_country","species","breeding_country"
"New Zealand","8455","New Zealand","2227","NZL","554","New Zealand","2227","NZL","554",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-42.70872,77.74731,"4374136","95",3.09616260961095e-09,0.496829162204184,"Ardenna bulleri_New Zealand","Ardenna bulleri","New Zealand"
"Hawaii","8453","Hawaii","8679",NA,NA,"United States","2204","USA","840",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",24.01626,-151.09216,"2491444","41",1.14070701137592e-09,0.183044813932933,"Ardenna bulleri_New Zealand","Ardenna bulleri","New Zealand"
"High Seas",NA,"High Seas",NA,NA,NA,"High Seas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.71634467777966e-10,0.107774568718634,"Ardenna bulleri_New Zealand","Ardenna bulleri","New Zealand"
"Norfolk Island","8310","Norfolk Island","8591","NFK","574","Australia","2147","AUS","36",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-29.09313,167.92899,"430640","109",4.84085123202138e-10,0.0776792554271718,"Ardenna bulleri_New Zealand","Ardenna bulleri","New Zealand"
"United States","8456","United States","2204","USA","840","United States","2204","USA","840",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",38.45695,-98.38831,"10392557","113",4.17492506196585e-10,0.0669933973869151,"Ardenna bulleri_New Zealand","Ardenna bulleri","New Zealand"
"Johnston Atoll","8452","Johnston Atoll","8678","UMI","581","United States","2204","USA","840",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",16.75109,-169.50612,"442448","18",1.49880995190052e-10,0.0240508198889334,"Ardenna bulleri_New Zealand","Ardenna bulleri","New Zealand"
"Mexico","8429","Mexico","2224","MEX","484","Mexico","2224","MEX","484",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",22.34985,-104.26398,"5138726","50",6.33854967934296e-11,0.0101712239434778,"Ardenna bulleri_New Zealand","Ardenna bulleri","New Zealand"
"Tonga","8448","Tonga","8674","TON","776","Tonga","8674","TON","776",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-20.22134,-174.76593,"666812","86",4.89058981515502e-11,0.00784773911100587,"Ardenna bulleri_New Zealand","Ardenna bulleri","New Zealand"
"Islas San Félix and San Ambrosio","22756","Islas San Félix and San Ambrosio","25135","CHL","152","Chile","2165","CHL","152",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-26.33091,-79.99086,"450968","241",3.82605408076261e-11,0.00613952005489805,"Ardenna bulleri_New Zealand","Ardenna bulleri","New Zealand"
"Niue","8447","Niue","8673","NIU","570","New Zealand","2227","NZL","554",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-19.52276,-169.33182,"318407","202",3.66544546838457e-11,0.00588179766627781,"Ardenna bulleri_New Zealand","Ardenna bulleri","New Zealand"
"Cook Islands","8446","Cook Islands","8672","COK","184","New Zealand","2227","NZL","554",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-15.01948,-161.30309,"1969814","96",2.45733683363373e-11,0.00394319276551544,"Ardenna bulleri_New Zealand","Ardenna bulleri","New Zealand"
"Australia","8323","Australia","2147","AUS","36","Australia","2147","AUS","36",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-26.51236,136.2067,"14557144","321",1.26377538252544e-11,0.00202793116409763,"Ardenna bulleri_New Zealand","Ardenna bulleri","New Zealand"
"Pitcairn","8439","Pitcairn","2259","PCN","612","United Kingdom","2208","GBR","826",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-24.60621,-127.42138,"842344","237",9.6339604680879e-12,0.00154592413628746,"Ardenna bulleri_New Zealand","Ardenna bulleri","New Zealand"
"Matthew and Hunter Islands","48948","Matthew and Hunter Islands","49593",NA,NA,"France","17","FRA","250","Matthew and Hunter Islands","49593",NA,NA,"Vanuatu","2202","VUT","548",NA,"0",NA,NA,NA,"0",NA,NA,"Overlapping claim",-23.2791,172.03655,"187186","25",9.1428894683923e-12,0.00146712388445179,"Ardenna bulleri_New Zealand","Ardenna bulleri","New Zealand"
"French Polynesia","8440","French Polynesia","8656","PYF","258","France","17","FRA","250",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-18.73237,-144.00452,"4774878","133",8.05923947426198e-12,0.00129323478798279,"Ardenna bulleri_New Zealand","Ardenna bulleri","New Zealand"
"Chile","8465","Chile","2165","CHL","152","Chile","2165","CHL","152",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-40.31881,-74.67069,"3244212","104",7.41221054571051e-12,0.00118940857436719,"Ardenna bulleri_New Zealand","Ardenna bulleri","New Zealand"
"American Samoa","8444","American Samoa","8670","ASM","16","United States","2204","USA","840",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-13.85503,-169.06414,"406038","226",4.84168010137907e-12,0.000776925559711186,"Ardenna bulleri_New Zealand","Ardenna bulleri","New Zealand"
"Fiji","8325","Fiji","2108","FJI","242","Fiji","2108","FJI","242",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-17.98632,95.94863,"1303022","130",4.81994722517038e-12,0.000773438169660827,"Ardenna bulleri_New Zealand","Ardenna bulleri","New Zealand"
"Alaska","8463","Alaska","8684",NA,NA,"United States","2204","USA","840",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",60.70916,-130.4678,"5193061","125",1.48136496304412e-12,0.000237708869431869,"Ardenna bulleri_New Zealand","Ardenna bulleri","New Zealand"
"Palmyra Atoll","8443","Palmyra Atoll","8669","UMI","581","United States","2204","USA","840",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",6.68793,-162.89879,"353676","228",1.17259049421236e-12,0.000188161032317783,"Ardenna bulleri_New Zealand","Ardenna bulleri","New Zealand"
"Line Group","8441","Line Group","8657","KIR","296","Kiribati","2116","KIR","296",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-3.81974,-154.72725,"1641797","203",4.35456448257356e-13,6.98760012450695e-05,"Ardenna bulleri_New Zealand","Ardenna bulleri","New Zealand"
"Phoenix Group","8450","Phoenix Group","8658","KIR","296","Kiribati","2116","KIR","296",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-3.73182,-172.45394,"745823","21",1.79952676605037e-13,2.88763055520896e-05,"Ardenna bulleri_New Zealand","Ardenna bulleri","New Zealand"
"Tuvalu","8326","Tuvalu","2210","TUV","798","Tuvalu","2210","TUV","798",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-7.81253,74.29359,"753175","73",1.35174621483974e-13,2.16909453446275e-05,"Ardenna bulleri_New Zealand","Ardenna bulleri","New Zealand"
"Jarvis Island","8442","Jarvis Island","8668","UMI","581","United States","2204","USA","840",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-0.91398,-160.46838,"323193","178",8.50116219505888e-14,1.36414840681243e-05,"Ardenna bulleri_New Zealand","Ardenna bulleri","New Zealand"
"Tokelau","8449","Tokelau","8675","TKL","772","New Zealand","2227","NZL","554",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-8.63292,-172.08471,"320756","219",3.61447220623753e-14,5.80000285663598e-06,"Ardenna bulleri_New Zealand","Ardenna bulleri","New Zealand"
"Howland and Baker islands","8451","Howland and Baker islands","48684","UMI","581","United States","2204","USA","840",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",0.7913,-176.72727,"434897","123",2.95158949612532e-14,4.73630077431521e-06,"Ardenna bulleri_New Zealand","Ardenna bulleri","New Zealand"
"Antarctica","8489","Antarctica","1926","ATA","10","Antarctica","1926","ATA","10",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-77.78128,11.74745,"22143430","150",1.9743673348201e-16,3.16819041027447e-08,"Ardenna bulleri_New Zealand","Ardenna bulleri","New Zealand"
"China","8486","China","8603","CHN","156","China","8603","CHN","156",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",35.80488,105.06602,"10340834","100",5.21439913256585e-08,0.35803844214194,"Ardenna carneipes_Australia","Ardenna carneipes","Australia"
"South Korea","8327","South Korea","8600","KOR","410","South Korea","8600","KOR","410",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",35.87951,127.62547,"448099","115",2.66270650903608e-08,0.182830517215771,"Ardenna carneipes_Australia","Ardenna carneipes","Australia"
"Overlapping claim Liancourt Rocks: Japan / South Korea","48955","Liancourt Rocks","48935",NA,NA,"Japan","2121","JPN","392","Liancourt Rocks","48935",NA,NA,"South Korea","8600","KOR","410",NA,"0",NA,NA,NA,"0",NA,NA,"Overlapping claim",37.24233,131.86633,"1624","66",1.51739065756828e-08,0.10418922168107,"Ardenna carneipes_Australia","Ardenna carneipes","Australia"
"Japan","8487","Japan","2121","JPN","392","Japan","2121","JPN","392",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",30.27975,138.40347,"4438697","214",1.32576957404188e-08,0.0910318640482674,"Ardenna carneipes_Australia","Ardenna carneipes","Australia"
"North Korea","8328","North Korea","8601","PRK","408","North Korea","8601","PRK","408",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",39.99009,128.04849,"236799","30",1.29783627520133e-08,0.0891138684084065,"Ardenna carneipes_Australia","Ardenna carneipes","Australia"
"Joint regime area Japan / Korea","21796","South Korea","8600","KOR","410","South Korea","8600","KOR","410","Japan","2121","JPN","392","Japan","2121","JPN","392",NA,"0",NA,NA,NA,"0",NA,NA,"Joint regime (EEZ)",30.81396,127.57808,"82610","317",6.55074980926429e-09,0.044979684081385,"Ardenna carneipes_Australia","Ardenna carneipes","Australia"
"Kuril Islands","48950","Kuril Islands","9011",NA,NA,"Japan","2121","JPN","392","Kuril Islands","9011",NA,NA,"Russia","2240","RUS","643",NA,"0",NA,NA,NA,"0",NA,NA,"Overlapping claim",43.90538,147.9443,"218735","33",6.48773396543917e-09,0.0445469957892192,"Ardenna carneipes_Australia","Ardenna carneipes","Australia"
"Australia","8323","Australia","2147","AUS","36","Australia","2147","AUS","36",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-26.51236,136.2067,"14557144","321",5.65827986282379e-09,0.038851680812774,"Ardenna carneipes_Australia","Ardenna carneipes","Australia"
"Senkaku Islands","48954","Senkaku Islands","48936",NA,"0","Taiwan","2177","TWN","158","Senkaku Islands","48936",NA,"0","Japan","2121","JPN","392","Senkaku Islands","48936",NA,"0","China","8603","CHN","156","Overlapping claim",26.52074,124.12206,"73801","40",3.14563819436842e-09,0.0215990255065046,"Ardenna carneipes_Australia","Ardenna carneipes","Australia"
"Northern Mariana Islands","48980","Northern Mariana Islands","8598","MNP","580","United States","2204","USA","840",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",18.28509,145.73925,"764117","32",1.77046796602694e-09,0.0121566373479081,"Ardenna carneipes_Australia","Ardenna carneipes","Australia"
"New Caledonia","8312","New Caledonia","2261","NCL","540","France","17","FRA","250",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-21.02186,163.24568,"1198283","49",7.7563708627623e-10,0.00532578897352653,"Ardenna carneipes_Australia","Ardenna carneipes","Australia"
"Norfolk Island","8310","Norfolk Island","8591","NFK","574","Australia","2147","AUS","36",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-29.09313,167.92899,"430640","109",2.98573147954583e-10,0.00205010514234401,"Ardenna carneipes_Australia","Ardenna carneipes","Australia"
"Taiwan","8321","Taiwan","2177","TWN","158","Taiwan","2177","TWN","158",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0","Union EEZ and country",21.63875,118.92579,"391613","189",1.79388251727889e-10,0.00123174096486194,"Ardenna carneipes_Australia","Ardenna carneipes","Australia"
"High Seas",NA,"High Seas",NA,NA,NA,"High Seas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.68231441639227e-10,0.00115513449876942,"Ardenna carneipes_Australia","Ardenna carneipes","Australia"
"Russia","5690","Russia","2240","RUS","643","Russia","2240","RUS","643",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",65.76098,95.46936,"24614858","227",1.47918551689562e-10,0.00101565926321337,"Ardenna carneipes_Australia","Ardenna carneipes","Australia"
"Guam","48957","Guam","8599","GUM","316","United States","2204","USA","840",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",12.93093,144.00465,"208784","155",7.26819881286595e-11,0.000499059338186088,"Ardenna carneipes_Australia","Ardenna carneipes","Australia"
"Philippines","8322","Philippines","2245","PHL","608","Philippines","2245","PHL","608",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",12.17841,122.24586,"2266873","14",6.19134106143951e-11,0.00042511860946027,"Ardenna carneipes_Australia","Ardenna carneipes","Australia"
"Micronesia","8316","Micronesia","8595","FSM","583","Micronesia","8595","FSM","583",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0","Union EEZ and country",6.77023,150.32193,"3013629","48",4.45435541033152e-11,0.000305851246004801,"Ardenna carneipes_Australia","Ardenna carneipes","Australia"
"Papua New Guinea","8324","Papua New Guinea","2237","PNG","598","Papua New Guinea","2237","PNG","598",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-5.6249,149.83749,"2861676","124",3.84239056180656e-11,0.000263831650756884,"Ardenna carneipes_Australia","Ardenna carneipes","Australia"
"Protected Zone established under the Torres Strait Treaty","21798","Papua New Guinea","2237","PNG","598","Papua New Guinea","2237","PNG","598","Australia","2147","AUS","36","Australia","2147","AUS","36",NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-9.49432,142.41403,"3931","322",1.78100303602213e-11,0.000122289747343076,"Ardenna carneipes_Australia","Ardenna carneipes","Australia"
"Solomon Islands","8314","Solomon Islands","8593","SLB","90","Solomon Islands","8593","SLB","90",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-10.03053,163.61703,"1633806","158",1.23877311750744e-11,8.50583904077615e-05,"Ardenna carneipes_Australia","Ardenna carneipes","Australia"
"Indonesia","8492","Indonesia","2127","IDN","360","Indonesia","2127","IDN","360",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-3.05027,117.74814,"7908337","147",1.1686442416535e-11,8.02431024289229e-05,"Ardenna carneipes_Australia","Ardenna carneipes","Australia"
"Cocos Islands","8308","Cocos Islands","8589","CCK","166","Australia","2147","AUS","36",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-12.03147,96.85434,"467457","140",5.77530438002819e-12,3.96552110905121e-05,"Ardenna carneipes_Australia","Ardenna carneipes","Australia"
"Vanuatu","8313","Vanuatu","2202","VUT","548","Vanuatu","2202","VUT","548",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-16.58746,168.55244,"635761","198",5.39174915883205e-12,3.70215900273523e-05,"Ardenna carneipes_Australia","Ardenna carneipes","Australia"
"Palau","8315","Palau","8594","PLW","585","Palau","8594","PLW","585",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",6.44114,133.06812,"615371","194",2.02702715890446e-12,1.39182603345601e-05,"Ardenna carneipes_Australia","Ardenna carneipes","Australia"
"Marshall Islands","8318","Marshall Islands","2226","MHL","584","Marshall Islands","2226","MHL","584",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",10.15122,167.48812,"2004305","149",1.43523758153333e-12,9.85483110770039e-06,"Ardenna carneipes_Australia","Ardenna carneipes","Australia"
"Nauru","8317","Nauru","8596","NRU","520","Nauru","8596","NRU","520",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-0.59113,166.12402,"309283","137",2.52266354082035e-13,1.7321468902576e-06,"Ardenna carneipes_Australia","Ardenna carneipes","Australia"
"Japan","8487","Japan","2121","JPN","392","Japan","2121","JPN","392",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",30.27975,138.40347,"4438697","214",1.43350496079908e-08,0.398934960228537,"Ardenna carneipes_New Zealand","Ardenna carneipes","New Zealand"
"Kuril Islands","48950","Kuril Islands","9011",NA,NA,"Japan","2121","JPN","392","Kuril Islands","9011",NA,NA,"Russia","2240","RUS","643",NA,"0",NA,NA,NA,"0",NA,NA,"Overlapping claim",43.90538,147.9443,"218735","33",1.24027061697819e-08,0.345159118933921,"Ardenna carneipes_New Zealand","Ardenna carneipes","New Zealand"
"New Zealand","8455","New Zealand","2227","NZL","554","New Zealand","2227","NZL","554",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-42.70872,77.74731,"4374136","95",4.36587543141023e-09,0.12149942896755,"Ardenna carneipes_New Zealand","Ardenna carneipes","New Zealand"
"Norfolk Island","8310","Norfolk Island","8591","NFK","574","Australia","2147","AUS","36",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-29.09313,167.92899,"430640","109",1.48860910269078e-09,0.0414270078874892,"Ardenna carneipes_New Zealand","Ardenna carneipes","New Zealand"
"Matthew and Hunter Islands","48948","Matthew and Hunter Islands","49593",NA,NA,"France","17","FRA","250","Matthew and Hunter Islands","49593",NA,NA,"Vanuatu","2202","VUT","548",NA,"0",NA,NA,NA,"0",NA,NA,"Overlapping claim",-23.2791,172.03655,"187186","25",6.53444566430206e-10,0.018184930589642,"Ardenna carneipes_New Zealand","Ardenna carneipes","New Zealand"
"High Seas",NA,"High Seas",NA,NA,NA,"High Seas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.14591421977887e-10,0.0171036732476235,"Ardenna carneipes_New Zealand","Ardenna carneipes","New Zealand"
"Hawaii","8453","Hawaii","8679",NA,NA,"United States","2204","USA","840",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",24.01626,-151.09216,"2491444","41",5.89953287392033e-10,0.0164180102391304,"Ardenna carneipes_New Zealand","Ardenna carneipes","New Zealand"
"Wake Island","8319","Wake Island","8597","UMI","581","United States","2204","USA","840",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",19.50326,166.53046,"406978","118",5.2901653928332e-10,0.0147221807967506,"Ardenna carneipes_New Zealand","Ardenna carneipes","New Zealand"
"Northern Mariana Islands","48980","Northern Mariana Islands","8598","MNP","580","United States","2204","USA","840",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",18.28509,145.73925,"764117","32",3.67997384843367e-10,0.010241124104995,"Ardenna carneipes_New Zealand","Ardenna carneipes","New Zealand"
"Russia","5690","Russia","2240","RUS","643","Russia","2240","RUS","643",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",65.76098,95.46936,"24614858","227",1.84985527773561e-10,0.0051480250283936,"Ardenna carneipes_New Zealand","Ardenna carneipes","New Zealand"
"Fiji","8325","Fiji","2108","FJI","242","Fiji","2108","FJI","242",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-17.98632,95.94863,"1303022","130",1.55433629791068e-10,0.0043256152308194,"Ardenna carneipes_New Zealand","Ardenna carneipes","New Zealand"
"New Caledonia","8312","New Caledonia","2261","NCL","540","France","17","FRA","250",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-21.02186,163.24568,"1198283","49",4.16695775274079e-11,0.00115963681383914,"Ardenna carneipes_New Zealand","Ardenna carneipes","New Zealand"
"French Polynesia","8440","French Polynesia","8656","PYF","258","France","17","FRA","250",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-18.73237,-144.00452,"4774878","133",3.0026999044596e-11,0.000835631546259936,"Ardenna carneipes_New Zealand","Ardenna carneipes","New Zealand"
"Tonga","8448","Tonga","8674","TON","776","Tonga","8674","TON","776",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-20.22134,-174.76593,"666812","86",2.55222998240028e-11,0.0007102687429525,"Ardenna carneipes_New Zealand","Ardenna carneipes","New Zealand"
"Marshall Islands","8318","Marshall Islands","2226","MHL","584","Marshall Islands","2226","MHL","584",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",10.15122,167.48812,"2004305","149",2.46439754687226e-11,0.000685825556404605,"Ardenna carneipes_New Zealand","Ardenna carneipes","New Zealand"
"Guam","48957","Guam","8599","GUM","316","United States","2204","USA","840",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",12.93093,144.00465,"208784","155",2.31978323028527e-11,0.000645580347483981,"Ardenna carneipes_New Zealand","Ardenna carneipes","New Zealand"
"Vanuatu","8313","Vanuatu","2202","VUT","548","Vanuatu","2202","VUT","548",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-16.58746,168.55244,"635761","198",2.2245900377092e-11,0.000619088710877998,"Ardenna carneipes_New Zealand","Ardenna carneipes","New Zealand"
"East Timor","8758","East Timor","8757","TLS","626","East Timor","8757","TLS","626",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-9.62675,126.71272,"89665","77",1.76088348004429e-11,0.000490042239328542,"Ardenna carneipes_New Zealand","Ardenna carneipes","New Zealand"
"Australia","8323","Australia","2147","AUS","36","Australia","2147","AUS","36",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-26.51236,136.2067,"14557144","321",1.35736642538708e-11,0.000377746108827902,"Ardenna carneipes_New Zealand","Ardenna carneipes","New Zealand"
"Gilbert Islands","8488","Gilbert Islands","17597","KIR","296","Kiribati","2116","KIR","296",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-0.25894,172.78257,"1053609","8",8.59080473853012e-12,0.000239076420411285,"Ardenna carneipes_New Zealand","Ardenna carneipes","New Zealand"
"Tuvalu","8326","Tuvalu","2210","TUV","798","Tuvalu","2210","TUV","798",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-7.81253,74.29359,"753175","73",7.32651728576054e-12,0.000203892135844393,"Ardenna carneipes_New Zealand","Ardenna carneipes","New Zealand"
"Niue","8447","Niue","8673","NIU","570","New Zealand","2227","NZL","554",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-19.52276,-169.33182,"318407","202",5.9284339086858e-12,0.000164984399095537,"Ardenna carneipes_New Zealand","Ardenna carneipes","New Zealand"
"Micronesia","8316","Micronesia","8595","FSM","583","Micronesia","8595","FSM","583",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0","Union EEZ and country",6.77023,150.32193,"3013629","48",5.76570710330548e-12,0.00016045581960626,"Ardenna carneipes_New Zealand","Ardenna carneipes","New Zealand"
"Pitcairn","8439","Pitcairn","2259","PCN","612","United Kingdom","2208","GBR","826",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-24.60621,-127.42138,"842344","237",3.92276434288846e-12,0.000109167940112589,"Ardenna carneipes_New Zealand","Ardenna carneipes","New Zealand"
"Johnston Atoll","8452","Johnston Atoll","8678","UMI","581","United States","2204","USA","840",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",16.75109,-169.50612,"442448","18",2.69756100961403e-12,7.50713407705645e-05,"Ardenna carneipes_New Zealand","Ardenna carneipes","New Zealand"
"Solomon Islands","8314","Solomon Islands","8593","SLB","90","Solomon Islands","8593","SLB","90",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-10.03053,163.61703,"1633806","158",1.9987812971006e-12,5.56247630158103e-05,"Ardenna carneipes_New Zealand","Ardenna carneipes","New Zealand"
"Wallis and Futuna","8454","Wallis and Futuna","8680","WLF","876","France","17","FRA","250",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-12.79724,-172.77877,"262926","52",1.85240700345293e-12,5.15512631248673e-05,"Ardenna carneipes_New Zealand","Ardenna carneipes","New Zealand"
