species_pop,breeding,nonbreeding
Procellaria aequinoctialis_Kerguelen,01_02_10_11_12,03_04_05_06_07_08_09
Procellaria aequinoctialis_Prince Edward Islands,01_02_10_11_12,03_04_05_06_07_08_09
Procellaria aequinoctialis_South Georgia,01_02_03_04_11_12,05_06_07_08_09_10
Procellaria cinerea_Antipodes Islands,04_05_06_07_08_09,01_02_10_11_12
Procellaria cinerea_Gough,04_05_06_07_08,01_02_03_09_10_11_12
Procellaria cinerea_Kerguelen,04_05_06_07_08_09,01_02_10_11_12
Procellaria cinerea_Prince Edward Islands,02_03_04_05_06_07,01_08_09_10_11_12
Procellaria conspicillata_Tristan da Cunha,10_11_12,01_02_03_04_05_08_09
Procellaria parkinsoni_Great Barrier Island,01_11_12,03_04_05_06_07_08_09_10
Procellaria westlandica_Punakaiki,04_05_06_07_08_09_10,01_02_03_11_12
Pseudobulweria aterrima_Reunion,01_02_03_10_11_12,04_05_06_07_08_09
Pseudobulweria rostrata_New Calendonia,09_10_11_01_06_12,NA
Pterodroma arminjoniana_Round Island,01_02_03_09_10_11_12,04_05_06_07_08
Pterodroma arminjoniana_Trindade Island,01_02_03_08_09_11_12,04_05_06_07
Pterodroma axillaris_Chatham Islands,01_02_03_04_05_12,06_07_08_09_10_11
Pterodroma baraui_Reunion,01_02_03_09_12,04_05_06_07_08
Pterodroma cahow_Bermuda Island,01_02_03_10_11_12,04_05_06_07_08_09
Pterodroma cervicalis_Phillip Island,02_03_04,NA
Pterodroma cookii_Codfish Island,01_02_03_04_11_12,05_06_07_08_09_10
Pterodroma cookii_Little Barrier Island,01_02_03_10_11_12,04_05_06_07_08_09
Pterodroma deserta_Madeira,06_07_08_09_10_11,01_02_03_04_05_12
Pterodroma feae_Cape Verde,01_02_03_04_05_06_11_12,07_08_09_10
Pterodroma gouldi_Bethells Beach,07_08_10_09,NA
Pterodroma hasitata_Sierra de Bahoruco,04_05_06_11,07_08_09_10
Pterodroma incerta_Gough,07_08_09_10_11_12,01_02_04_05_06
Pterodroma inexpectata_Lake HaurokoPetrel Island,01_02_04_05_11_12,06_07_08_09_10
Pterodroma lessonii_Adams Island,01_02_03_04_05,06_07_08_09_10_11_12
Pterodroma leucoptera_Cabbage Tree Island,01_02_03_11_12,04_05_06_07_08_09_10
Pterodroma leucoptera_New Caledonia,01_02_03_11_12,04_05_06_07_08_09_10
Pterodroma macroptera_Prince Edward Islands,06_07,NA
Pterodroma madeira_Madeira,03_04_05_06_07_08_09,01_02_10_11_12
Pterodroma magentae_Chatham Islands,01_02_03_04_10_11_12,05_06_07_08_09
Pterodroma mollis_Antipodes,01_02_03_04_05_11_12,06_07_08_09_10
Pterodroma mollis_Gough,01_02_03_04_11_12,05_06_07_08_09_10
Pterodroma neglecta_Phillip Island,1,NA
Pterodroma nigripennis_Chatham Islands,01_02_03_04_11_12,05_06_07_08_09_10
Pterodroma nigripennis_Phillip Island,03_02_04,NA
Pterodroma phaeopygia_Galapagos,08_09_10_07,NA
Pterodroma pycrofti_Red Mercury Island,01_02_10_11_12,04_05_06_07_08_09
Pterodroma sandwichensis_Hawaii,08_09_10_11_07,NA
Pterodroma solandri_Lord Howe Island,03_04_05_10,01_02_11_12
Pterodroma ultima_Henderson Island,04_05_06_07_08_09,01_02_03_10_11_12
Puffinus assimilis_E of Aukland,06_07_08_09_10_11_12,01_02_03_04_05
Puffinus assimilis_Lord Howe Island,04_05_06_08_09_10,01_02_03_11_12
Puffinus bailloni_Seychelles,01_02_03_04_05_06_07_08,09_10_11_12
Puffinus gavia_E of Aukland,01_02_03_09_10_11_12,04_05_06_07_08
Puffinus huttoni_Te Rae o Atiu,01_02,NA
Puffinus lherminieri_Azores,01_02_04_05_06_07_08_09,10_11_12
Puffinus lherminieri_Cape Verde,01_02_03_04_11_12,05_06_07_08_09_10
Puffinus lherminieri_Madeira,01_02_03_04_05_11_12,06_07_08_09_10
Puffinus mauretanicus_Balearic Archipelago,05_06_03_04_07,NA
Puffinus newelli_Hawaii,10_11_12_01_08_09,NA
Puffinus opisthomelas_Isla Natividad,05_06_07_03_04,NA
Puffinus puffinus_Heimaey,04_05_06_07_08_09,01_02_10_11_12
Puffinus puffinus_Ireland,07_08_06_05,NA
Puffinus puffinus_UK,03_04_05_06_07_08_09,01_02_10_11_12
Puffinus yelkouan_Iles Hyeres,01_02_05_06_07_11_12,03_04_08_09_10
Puffinus yelkouan_Malta,01_02_03_04_05_06_12,07_08_09_10_11
Thalassoica antarctica_Davis,12_01_02,NA
Thalassoica antarctica_Svarthamaren,01_02_12,04_05_06_07_08_11
