species,population,month,sp_pop,sp_pop_month,exposure_score
Ardenna creatopus,Isla Mocha and Juan Fernandez,5,Ardenna creatopus_Isla Mocha and Juan Fernandez,Ardenna creatopus_Isla Mocha and Juan Fernandez_05,0.6468
Ardenna creatopus,Isla Mocha and Juan Fernandez,6,Ardenna creatopus_Isla Mocha and Juan Fernandez,Ardenna creatopus_Isla Mocha and Juan Fernandez_06,1.8061
Ardenna creatopus,Isla Mocha and Juan Fernandez,7,Ardenna creatopus_Isla Mocha and Juan Fernandez,Ardenna creatopus_Isla Mocha and Juan Fernandez_07,3.6889
Ardenna creatopus,Isla Mocha and Juan Fernandez,8,Ardenna creatopus_Isla Mocha and Juan Fernandez,Ardenna creatopus_Isla Mocha and Juan Fernandez_08,4.7095
Ardenna creatopus,Isla Mocha and Juan Fernandez,9,Ardenna creatopus_Isla Mocha and Juan Fernandez,Ardenna creatopus_Isla Mocha and Juan Fernandez_09,5.2089
Ardenna creatopus,Isla Mocha and Juan Fernandez,10,Ardenna creatopus_Isla Mocha and Juan Fernandez,Ardenna creatopus_Isla Mocha and Juan Fernandez_10,2.6489
Ardenna creatopus,Isla Mocha and Juan Fernandez,11,Ardenna creatopus_Isla Mocha and Juan Fernandez,Ardenna creatopus_Isla Mocha and Juan Fernandez_11,1.4599
Ardenna creatopus,Isla Mocha and Juan Fernandez,12,Ardenna creatopus_Isla Mocha and Juan Fernandez,Ardenna creatopus_Isla Mocha and Juan Fernandez_12,0.2853
Ardenna gravis,Gough,1,Ardenna gravis_Gough,Ardenna gravis_Gough_01,10.2469
Ardenna gravis,Gough,2,Ardenna gravis_Gough,Ardenna gravis_Gough_02,9.2297
Ardenna gravis,Gough,3,Ardenna gravis_Gough,Ardenna gravis_Gough_03,7.1568
Ardenna gravis,Gough,4,Ardenna gravis_Gough,Ardenna gravis_Gough_04,4.1828
Ardenna gravis,Gough,5,Ardenna gravis_Gough,Ardenna gravis_Gough_05,8.4833
Ardenna gravis,Gough,6,Ardenna gravis_Gough,Ardenna gravis_Gough_06,1.7866
Ardenna gravis,Gough,7,Ardenna gravis_Gough,Ardenna gravis_Gough_07,0.9043
Ardenna gravis,Gough,8,Ardenna gravis_Gough,Ardenna gravis_Gough_08,1.3913
Ardenna gravis,Gough,9,Ardenna gravis_Gough,Ardenna gravis_Gough_09,3.6869
Ardenna gravis,Gough,10,Ardenna gravis_Gough,Ardenna gravis_Gough_10,25.1227
Ardenna gravis,Gough,11,Ardenna gravis_Gough,Ardenna gravis_Gough_11,29.1285
Ardenna gravis,Gough,12,Ardenna gravis_Gough,Ardenna gravis_Gough_12,10.8595
Ardenna gravis,Tristan da Cunha,1,Ardenna gravis_Tristan da Cunha,Ardenna gravis_Tristan da Cunha_01,9.3596
Ardenna gravis,Tristan da Cunha,2,Ardenna gravis_Tristan da Cunha,Ardenna gravis_Tristan da Cunha_02,2.8583
Ardenna gravis,Tristan da Cunha,3,Ardenna gravis_Tristan da Cunha,Ardenna gravis_Tristan da Cunha_03,4.1445
Ardenna gravis,Tristan da Cunha,4,Ardenna gravis_Tristan da Cunha,Ardenna gravis_Tristan da Cunha_04,5.2756
Ardenna gravis,Tristan da Cunha,5,Ardenna gravis_Tristan da Cunha,Ardenna gravis_Tristan da Cunha_05,8.5697
Ardenna gravis,Tristan da Cunha,6,Ardenna gravis_Tristan da Cunha,Ardenna gravis_Tristan da Cunha_06,3.4101
Ardenna gravis,Tristan da Cunha,7,Ardenna gravis_Tristan da Cunha,Ardenna gravis_Tristan da Cunha_07,1.0264
Ardenna gravis,Tristan da Cunha,8,Ardenna gravis_Tristan da Cunha,Ardenna gravis_Tristan da Cunha_08,0.8589
Ardenna gravis,Tristan da Cunha,9,Ardenna gravis_Tristan da Cunha,Ardenna gravis_Tristan da Cunha_09,4.1528
Ardenna gravis,Tristan da Cunha,10,Ardenna gravis_Tristan da Cunha,Ardenna gravis_Tristan da Cunha_10,8.875
Ardenna gravis,Tristan da Cunha,11,Ardenna gravis_Tristan da Cunha,Ardenna gravis_Tristan da Cunha_11,9.7919
Ardenna gravis,Tristan da Cunha,12,Ardenna gravis_Tristan da Cunha,Ardenna gravis_Tristan da Cunha_12,11.3964
Ardenna grisea,Codfish Island,1,Ardenna grisea_Codfish Island,Ardenna grisea_Codfish Island_01,0.3885
Ardenna grisea,Codfish Island,2,Ardenna grisea_Codfish Island,Ardenna grisea_Codfish Island_02,0.3197
Ardenna grisea,Codfish Island,3,Ardenna grisea_Codfish Island,Ardenna grisea_Codfish Island_03,0.7314
Ardenna grisea,Codfish Island,4,Ardenna grisea_Codfish Island,Ardenna grisea_Codfish Island_04,19.6342
Ardenna grisea,Codfish Island,5,Ardenna grisea_Codfish Island,Ardenna grisea_Codfish Island_05,39.8689
Ardenna grisea,Codfish Island,6,Ardenna grisea_Codfish Island,Ardenna grisea_Codfish Island_06,30.7109
Ardenna grisea,Codfish Island,7,Ardenna grisea_Codfish Island,Ardenna grisea_Codfish Island_07,24.7967
Ardenna grisea,Codfish Island,8,Ardenna grisea_Codfish Island,Ardenna grisea_Codfish Island_08,10.3803
Ardenna grisea,Codfish Island,9,Ardenna grisea_Codfish Island,Ardenna grisea_Codfish Island_09,9.4084
Ardenna grisea,Codfish Island,10,Ardenna grisea_Codfish Island,Ardenna grisea_Codfish Island_10,14.7361
Ardenna grisea,Codfish Island,11,Ardenna grisea_Codfish Island,Ardenna grisea_Codfish Island_11,8.1419
Ardenna grisea,Codfish Island,12,Ardenna grisea_Codfish Island,Ardenna grisea_Codfish Island_12,0.8036
Ardenna grisea,Falkland Islands,1,Ardenna grisea_Falkland Islands,Ardenna grisea_Falkland Islands_01,0.0961
Ardenna grisea,Falkland Islands,2,Ardenna grisea_Falkland Islands,Ardenna grisea_Falkland Islands_02,0.1121
Ardenna grisea,Falkland Islands,3,Ardenna grisea_Falkland Islands,Ardenna grisea_Falkland Islands_03,2.0199
Ardenna grisea,Falkland Islands,4,Ardenna grisea_Falkland Islands,Ardenna grisea_Falkland Islands_04,7.7887
Ardenna grisea,Falkland Islands,5,Ardenna grisea_Falkland Islands,Ardenna grisea_Falkland Islands_05,1.3465
Ardenna grisea,Falkland Islands,6,Ardenna grisea_Falkland Islands,Ardenna grisea_Falkland Islands_06,0.8871
Ardenna grisea,Falkland Islands,7,Ardenna grisea_Falkland Islands,Ardenna grisea_Falkland Islands_07,0.5891
Ardenna grisea,Falkland Islands,8,Ardenna grisea_Falkland Islands,Ardenna grisea_Falkland Islands_08,0.7568
Ardenna grisea,Falkland Islands,9,Ardenna grisea_Falkland Islands,Ardenna grisea_Falkland Islands_09,4.4457
Ardenna grisea,Falkland Islands,10,Ardenna grisea_Falkland Islands,Ardenna grisea_Falkland Islands_10,2.4894
Ardenna grisea,Falkland Islands,11,Ardenna grisea_Falkland Islands,Ardenna grisea_Falkland Islands_11,0.9504
Ardenna grisea,Falkland Islands,12,Ardenna grisea_Falkland Islands,Ardenna grisea_Falkland Islands_12,0.1242
Ardenna grisea,North Island,1,Ardenna grisea_North Island,Ardenna grisea_North Island_01,2.3489
Ardenna grisea,North Island,2,Ardenna grisea_North Island,Ardenna grisea_North Island_02,2.2526
Ardenna grisea,North Island,3,Ardenna grisea_North Island,Ardenna grisea_North Island_03,14.5791
Ardenna grisea,North Island,4,Ardenna grisea_North Island,Ardenna grisea_North Island_04,15.4563
Ardenna grisea,North Island,5,Ardenna grisea_North Island,Ardenna grisea_North Island_05,34.9334
Ardenna grisea,North Island,6,Ardenna grisea_North Island,Ardenna grisea_North Island_06,37.2295
Ardenna grisea,North Island,7,Ardenna grisea_North Island,Ardenna grisea_North Island_07,25.1372
Ardenna grisea,North Island,8,Ardenna grisea_North Island,Ardenna grisea_North Island_08,13.5123
Ardenna grisea,North Island,9,Ardenna grisea_North Island,Ardenna grisea_North Island_09,15.2857
Ardenna grisea,North Island,10,Ardenna grisea_North Island,Ardenna grisea_North Island_10,11.2238
Ardenna grisea,North Island,11,Ardenna grisea_North Island,Ardenna grisea_North Island_11,3.3585
Ardenna grisea,North Island,12,Ardenna grisea_North Island,Ardenna grisea_North Island_12,1.3841
Ardenna pacifica,Hawaii,8,Ardenna pacifica_Hawaii,Ardenna pacifica_Hawaii_08,83.6863
Ardenna pacifica,Hawaii,9,Ardenna pacifica_Hawaii,Ardenna pacifica_Hawaii_09,68.1853
Ardenna pacifica,Hawaii,10,Ardenna pacifica_Hawaii,Ardenna pacifica_Hawaii_10,68.4054
Ardenna pacifica,Heron Island,2,Ardenna pacifica_Heron Island,Ardenna pacifica_Heron Island_02,6.2663
Ardenna pacifica,Heron Island,3,Ardenna pacifica_Heron Island,Ardenna pacifica_Heron Island_03,6.3068
Ardenna pacifica,Heron Island,4,Ardenna pacifica_Heron Island,Ardenna pacifica_Heron Island_04,6.5427
Ardenna pacifica,Heron Island,5,Ardenna pacifica_Heron Island,Ardenna pacifica_Heron Island_05,6.5371
Ardenna pacifica,Heron Island,6,Ardenna pacifica_Heron Island,Ardenna pacifica_Heron Island_06,6.5176
Ardenna pacifica,Heron Island,7,Ardenna pacifica_Heron Island,Ardenna pacifica_Heron Island_07,6.5265
Ardenna pacifica,Heron Island,8,Ardenna pacifica_Heron Island,Ardenna pacifica_Heron Island_08,6.5327
Ardenna pacifica,Lowendal and Houtman Abrolhoss,1,Ardenna pacifica_Lowendal . Houtman Abrolhoss,Ardenna pacifica_Lowendal . Houtman Abrolhoss_01,5.1252
Ardenna pacifica,Lowendal and Houtman Abrolhoss,2,Ardenna pacifica_Lowendal . Houtman Abrolhoss,Ardenna pacifica_Lowendal . Houtman Abrolhoss_02,7.3041
Ardenna pacifica,Lowendal and Houtman Abrolhoss,3,Ardenna pacifica_Lowendal . Houtman Abrolhoss,Ardenna pacifica_Lowendal . Houtman Abrolhoss_03,4.5606
Ardenna pacifica,Lowendal and Houtman Abrolhoss,4,Ardenna pacifica_Lowendal . Houtman Abrolhoss,Ardenna pacifica_Lowendal . Houtman Abrolhoss_04,18.2543
Ardenna pacifica,Lowendal and Houtman Abrolhoss,5,Ardenna pacifica_Lowendal . Houtman Abrolhoss,Ardenna pacifica_Lowendal . Houtman Abrolhoss_05,6.9047
Ardenna pacifica,Lowendal and Houtman Abrolhoss,6,Ardenna pacifica_Lowendal . Houtman Abrolhoss,Ardenna pacifica_Lowendal . Houtman Abrolhoss_06,3.1452
Ardenna pacifica,Lowendal and Houtman Abrolhoss,7,Ardenna pacifica_Lowendal . Houtman Abrolhoss,Ardenna pacifica_Lowendal . Houtman Abrolhoss_07,4.8028
Ardenna pacifica,Lowendal and Houtman Abrolhoss,8,Ardenna pacifica_Lowendal . Houtman Abrolhoss,Ardenna pacifica_Lowendal . Houtman Abrolhoss_08,10.0945
Ardenna pacifica,Lowendal and Houtman Abrolhoss,9,Ardenna pacifica_Lowendal . Houtman Abrolhoss,Ardenna pacifica_Lowendal . Houtman Abrolhoss_09,10.8937
Ardenna pacifica,Lowendal and Houtman Abrolhoss,10,Ardenna pacifica_Lowendal . Houtman Abrolhoss,Ardenna pacifica_Lowendal . Houtman Abrolhoss_10,18.8675
Ardenna pacifica,Lowendal and Houtman Abrolhoss,11,Ardenna pacifica_Lowendal . Houtman Abrolhoss,Ardenna pacifica_Lowendal . Houtman Abrolhoss_11,4.8313
Ardenna pacifica,Lowendal and Houtman Abrolhoss,12,Ardenna pacifica_Lowendal . Houtman Abrolhoss,Ardenna pacifica_Lowendal . Houtman Abrolhoss_12,3.8914
Ardenna pacifica,Mauritius,1,Ardenna pacifica_Mauritius,Ardenna pacifica_Mauritius_01,6.986
Ardenna pacifica,Mauritius,2,Ardenna pacifica_Mauritius,Ardenna pacifica_Mauritius_02,4.3062
Ardenna pacifica,Mauritius,3,Ardenna pacifica_Mauritius,Ardenna pacifica_Mauritius_03,2.9109
Ardenna pacifica,Mauritius,4,Ardenna pacifica_Mauritius,Ardenna pacifica_Mauritius_04,28.0726
Ardenna pacifica,Mauritius,5,Ardenna pacifica_Mauritius,Ardenna pacifica_Mauritius_05,6.4022
Ardenna pacifica,Mauritius,6,Ardenna pacifica_Mauritius,Ardenna pacifica_Mauritius_06,2.7102
Ardenna pacifica,Mauritius,7,Ardenna pacifica_Mauritius,Ardenna pacifica_Mauritius_07,14.5784
Ardenna pacifica,Mauritius,8,Ardenna pacifica_Mauritius,Ardenna pacifica_Mauritius_08,24.8567
Ardenna pacifica,Mauritius,9,Ardenna pacifica_Mauritius,Ardenna pacifica_Mauritius_09,25.9149
Ardenna pacifica,Mauritius,10,Ardenna pacifica_Mauritius,Ardenna pacifica_Mauritius_10,5.6676
Ardenna pacifica,Mauritius,11,Ardenna pacifica_Mauritius,Ardenna pacifica_Mauritius_11,6.5556
Ardenna pacifica,Mauritius,12,Ardenna pacifica_Mauritius,Ardenna pacifica_Mauritius_12,5.5683
Ardenna pacifica,New Calendonia,3,Ardenna pacifica_New Calendonia,Ardenna pacifica_New Calendonia_03,1.5648
Ardenna pacifica,New Calendonia,4,Ardenna pacifica_New Calendonia,Ardenna pacifica_New Calendonia_04,1.4316
Ardenna pacifica,Reunion,1,Ardenna pacifica_Reunion,Ardenna pacifica_Reunion_01,15.1895
Ardenna pacifica,Reunion,2,Ardenna pacifica_Reunion,Ardenna pacifica_Reunion_02,14.7321
Ardenna pacifica,Reunion,3,Ardenna pacifica_Reunion,Ardenna pacifica_Reunion_03,14.4909
Ardenna pacifica,Reunion,4,Ardenna pacifica_Reunion,Ardenna pacifica_Reunion_04,18.7483
Ardenna pacifica,Reunion,5,Ardenna pacifica_Reunion,Ardenna pacifica_Reunion_05,7.3678
Ardenna pacifica,Reunion,6,Ardenna pacifica_Reunion,Ardenna pacifica_Reunion_06,2.4067
Ardenna pacifica,Reunion,7,Ardenna pacifica_Reunion,Ardenna pacifica_Reunion_07,2.438
Ardenna pacifica,Reunion,8,Ardenna pacifica_Reunion,Ardenna pacifica_Reunion_08,16.7826
Ardenna pacifica,Reunion,9,Ardenna pacifica_Reunion,Ardenna pacifica_Reunion_09,19.5681
Ardenna pacifica,Reunion,10,Ardenna pacifica_Reunion,Ardenna pacifica_Reunion_10,16.0447
Ardenna pacifica,Reunion,11,Ardenna pacifica_Reunion,Ardenna pacifica_Reunion_11,25.3678
Ardenna pacifica,Reunion,12,Ardenna pacifica_Reunion,Ardenna pacifica_Reunion_12,22.4176
Ardenna pacifica,Seychelles,1,Ardenna pacifica_Seychelles,Ardenna pacifica_Seychelles_01,1.6472
Ardenna pacifica,Seychelles,2,Ardenna pacifica_Seychelles,Ardenna pacifica_Seychelles_02,2.0676
Ardenna pacifica,Seychelles,3,Ardenna pacifica_Seychelles,Ardenna pacifica_Seychelles_03,4.1881
Ardenna pacifica,Seychelles,4,Ardenna pacifica_Seychelles,Ardenna pacifica_Seychelles_04,5.7071
Ardenna pacifica,Seychelles,5,Ardenna pacifica_Seychelles,Ardenna pacifica_Seychelles_05,3.1375
Ardenna pacifica,Seychelles,6,Ardenna pacifica_Seychelles,Ardenna pacifica_Seychelles_06,3.0802
Ardenna pacifica,Seychelles,7,Ardenna pacifica_Seychelles,Ardenna pacifica_Seychelles_07,3.4232
Ardenna pacifica,Seychelles,8,Ardenna pacifica_Seychelles,Ardenna pacifica_Seychelles_08,5.3503
Ardenna pacifica,Seychelles,9,Ardenna pacifica_Seychelles,Ardenna pacifica_Seychelles_09,6.4297
Ardenna pacifica,Seychelles,10,Ardenna pacifica_Seychelles,Ardenna pacifica_Seychelles_10,1.7008
Ardenna pacifica,Seychelles,11,Ardenna pacifica_Seychelles,Ardenna pacifica_Seychelles_11,1.5181
Ardenna pacifica,Seychelles,12,Ardenna pacifica_Seychelles,Ardenna pacifica_Seychelles_12,1.4694
Ardenna tenuirostris,SE Australia,1,Ardenna tenuirostris_SE Australia,Ardenna tenuirostris_SE Australia_01,0.9699
Ardenna tenuirostris,SE Australia,2,Ardenna tenuirostris_SE Australia,Ardenna tenuirostris_SE Australia_02,1.0801
