species,population,month,sp_pop,sp_pop_month,exposure_score
Bulweria bulwerii,Madeira,8,Bulweria bulwerii_Madeira,Bulweria bulwerii_Madeira_08,5.0299
Bulweria bulwerii,Madeira,9,Bulweria bulwerii_Madeira,Bulweria bulwerii_Madeira_09,5.0744
Bulweria bulwerii,Madeira,10,Bulweria bulwerii_Madeira,Bulweria bulwerii_Madeira_10,0.7306
Bulweria bulwerii,Madeira,11,Bulweria bulwerii_Madeira,Bulweria bulwerii_Madeira_11,3.0764
Bulweria bulwerii,Madeira,12,Bulweria bulwerii_Madeira,Bulweria bulwerii_Madeira_12,12.1362
Calonectris borealis,Azores,1,Calonectris borealis_Azores,Calonectris borealis_Azores_01,12.5836
Calonectris borealis,Azores,2,Calonectris borealis_Azores,Calonectris borealis_Azores_02,15.3368
Calonectris borealis,Azores,3,Calonectris borealis_Azores,Calonectris borealis_Azores_03,9.7852
Calonectris borealis,Azores,4,Calonectris borealis_Azores,Calonectris borealis_Azores_04,10.3472
Calonectris borealis,Azores,5,Calonectris borealis_Azores,Calonectris borealis_Azores_05,9.5995
Calonectris borealis,Azores,6,Calonectris borealis_Azores,Calonectris borealis_Azores_06,7.752
Calonectris borealis,Azores,7,Calonectris borealis_Azores,Calonectris borealis_Azores_07,7.1424
Calonectris borealis,Azores,8,Calonectris borealis_Azores,Calonectris borealis_Azores_08,7.2055
Calonectris borealis,Azores,9,Calonectris borealis_Azores,Calonectris borealis_Azores_09,5.3511
Calonectris borealis,Azores,10,Calonectris borealis_Azores,Calonectris borealis_Azores_10,1.6928
Calonectris borealis,Azores,11,Calonectris borealis_Azores,Calonectris borealis_Azores_11,5.0553
Calonectris borealis,Azores,12,Calonectris borealis_Azores,Calonectris borealis_Azores_12,17.5837
Calonectris borealis,Berlengas,1,Calonectris borealis_Berlengas,Calonectris borealis_Berlengas_01,12.1252
Calonectris borealis,Berlengas,2,Calonectris borealis_Berlengas,Calonectris borealis_Berlengas_02,12.9855
Calonectris borealis,Berlengas,3,Calonectris borealis_Berlengas,Calonectris borealis_Berlengas_03,9.1257
Calonectris borealis,Berlengas,4,Calonectris borealis_Berlengas,Calonectris borealis_Berlengas_04,4.1917
Calonectris borealis,Berlengas,5,Calonectris borealis_Berlengas,Calonectris borealis_Berlengas_05,4.2739
Calonectris borealis,Berlengas,6,Calonectris borealis_Berlengas,Calonectris borealis_Berlengas_06,4.3437
Calonectris borealis,Berlengas,7,Calonectris borealis_Berlengas,Calonectris borealis_Berlengas_07,4.008
Calonectris borealis,Berlengas,8,Calonectris borealis_Berlengas,Calonectris borealis_Berlengas_08,3.57
Calonectris borealis,Berlengas,9,Calonectris borealis_Berlengas,Calonectris borealis_Berlengas_09,3.2908
Calonectris borealis,Berlengas,10,Calonectris borealis_Berlengas,Calonectris borealis_Berlengas_10,3.2912
Calonectris borealis,Berlengas,11,Calonectris borealis_Berlengas,Calonectris borealis_Berlengas_11,12.7727
Calonectris borealis,Berlengas,12,Calonectris borealis_Berlengas,Calonectris borealis_Berlengas_12,15.5501
Calonectris borealis,Canarias,1,Calonectris borealis_Canarias,Calonectris borealis_Canarias_01,11.3194
Calonectris borealis,Canarias,2,Calonectris borealis_Canarias,Calonectris borealis_Canarias_02,9.6208
Calonectris borealis,Canarias,3,Calonectris borealis_Canarias,Calonectris borealis_Canarias_03,2.8837
Calonectris borealis,Canarias,4,Calonectris borealis_Canarias,Calonectris borealis_Canarias_04,1.7537
Calonectris borealis,Canarias,5,Calonectris borealis_Canarias,Calonectris borealis_Canarias_05,1.8441
Calonectris borealis,Canarias,6,Calonectris borealis_Canarias,Calonectris borealis_Canarias_06,1.6964
Calonectris borealis,Canarias,7,Calonectris borealis_Canarias,Calonectris borealis_Canarias_07,1.5628
Calonectris borealis,Canarias,8,Calonectris borealis_Canarias,Calonectris borealis_Canarias_08,1.6273
Calonectris borealis,Canarias,9,Calonectris borealis_Canarias,Calonectris borealis_Canarias_09,1.4585
Calonectris borealis,Canarias,10,Calonectris borealis_Canarias,Calonectris borealis_Canarias_10,4.0978
Calonectris borealis,Canarias,11,Calonectris borealis_Canarias,Calonectris borealis_Canarias_11,13.0812
Calonectris borealis,Canarias,12,Calonectris borealis_Canarias,Calonectris borealis_Canarias_12,21.5498
Calonectris borealis,Madeira,1,Calonectris borealis_Madeira,Calonectris borealis_Madeira_01,15.1711
Calonectris borealis,Madeira,2,Calonectris borealis_Madeira,Calonectris borealis_Madeira_02,14.4299
Calonectris borealis,Madeira,3,Calonectris borealis_Madeira,Calonectris borealis_Madeira_03,9.582
Calonectris borealis,Madeira,4,Calonectris borealis_Madeira,Calonectris borealis_Madeira_04,4.095
Calonectris borealis,Madeira,5,Calonectris borealis_Madeira,Calonectris borealis_Madeira_05,4.3036
Calonectris borealis,Madeira,6,Calonectris borealis_Madeira,Calonectris borealis_Madeira_06,3.7676
Calonectris borealis,Madeira,7,Calonectris borealis_Madeira,Calonectris borealis_Madeira_07,4.5806
Calonectris borealis,Madeira,8,Calonectris borealis_Madeira,Calonectris borealis_Madeira_08,4.6726
Calonectris borealis,Madeira,9,Calonectris borealis_Madeira,Calonectris borealis_Madeira_09,4.1475
Calonectris borealis,Madeira,10,Calonectris borealis_Madeira,Calonectris borealis_Madeira_10,2.6948
Calonectris borealis,Madeira,11,Calonectris borealis_Madeira,Calonectris borealis_Madeira_11,14.7625
Calonectris borealis,Madeira,12,Calonectris borealis_Madeira,Calonectris borealis_Madeira_12,25.8737
Calonectris diomedea,Balearic Archipelago,1,Calonectris diomedea_Balearic Archipelago,Calonectris diomedea_Balearic Archipelago_01,0.4436
Calonectris diomedea,Balearic Archipelago,2,Calonectris diomedea_Balearic Archipelago,Calonectris diomedea_Balearic Archipelago_02,12.4785
Calonectris diomedea,Balearic Archipelago,4,Calonectris diomedea_Balearic Archipelago,Calonectris diomedea_Balearic Archipelago_04,526.4173
Calonectris diomedea,Balearic Archipelago,5,Calonectris diomedea_Balearic Archipelago,Calonectris diomedea_Balearic Archipelago_05,505.3588
Calonectris diomedea,Balearic Archipelago,6,Calonectris diomedea_Balearic Archipelago,Calonectris diomedea_Balearic Archipelago_06,488.4475
Calonectris diomedea,Balearic Archipelago,7,Calonectris diomedea_Balearic Archipelago,Calonectris diomedea_Balearic Archipelago_07,445.2537
Calonectris diomedea,Balearic Archipelago,8,Calonectris diomedea_Balearic Archipelago,Calonectris diomedea_Balearic Archipelago_08,465.1103
Calonectris diomedea,Balearic Archipelago,9,Calonectris diomedea_Balearic Archipelago,Calonectris diomedea_Balearic Archipelago_09,441.8309
Calonectris diomedea,Balearic Archipelago,10,Calonectris diomedea_Balearic Archipelago,Calonectris diomedea_Balearic Archipelago_10,226.7577
Calonectris diomedea,Balearic Archipelago,11,Calonectris diomedea_Balearic Archipelago,Calonectris diomedea_Balearic Archipelago_11,5.5206
Calonectris diomedea,Balearic Archipelago,12,Calonectris diomedea_Balearic Archipelago,Calonectris diomedea_Balearic Archipelago_12,0.4894
Calonectris diomedea,Chafarinas,1,Calonectris diomedea_Chafarinas,Calonectris diomedea_Chafarinas_01,0.9846
Calonectris diomedea,Chafarinas,2,Calonectris diomedea_Chafarinas,Calonectris diomedea_Chafarinas_02,4.7566
Calonectris diomedea,Chafarinas,4,Calonectris diomedea_Chafarinas,Calonectris diomedea_Chafarinas_04,409.9004
Calonectris diomedea,Chafarinas,5,Calonectris diomedea_Chafarinas,Calonectris diomedea_Chafarinas_05,505.6244
Calonectris diomedea,Chafarinas,6,Calonectris diomedea_Chafarinas,Calonectris diomedea_Chafarinas_06,355.9662
Calonectris diomedea,Chafarinas,7,Calonectris diomedea_Chafarinas,Calonectris diomedea_Chafarinas_07,474.6236
Calonectris diomedea,Chafarinas,8,Calonectris diomedea_Chafarinas,Calonectris diomedea_Chafarinas_08,415.3237
Calonectris diomedea,Chafarinas,9,Calonectris diomedea_Chafarinas,Calonectris diomedea_Chafarinas_09,383.1032
Calonectris diomedea,Chafarinas,10,Calonectris diomedea_Chafarinas,Calonectris diomedea_Chafarinas_10,62.9993
Calonectris diomedea,Chafarinas,11,Calonectris diomedea_Chafarinas,Calonectris diomedea_Chafarinas_11,1.8478
Calonectris diomedea,Chafarinas,12,Calonectris diomedea_Chafarinas,Calonectris diomedea_Chafarinas_12,0.6507
Calonectris diomedea,La Maddalena Archipelago,1,Calonectris diomedea_La Maddalena Archipelago,Calonectris diomedea_La Maddalena Archipelago_01,0.5463
Calonectris diomedea,La Maddalena Archipelago,2,Calonectris diomedea_La Maddalena Archipelago,Calonectris diomedea_La Maddalena Archipelago_02,19.0773
Calonectris diomedea,La Maddalena Archipelago,3,Calonectris diomedea_La Maddalena Archipelago,Calonectris diomedea_La Maddalena Archipelago_03,307.9001
Calonectris diomedea,La Maddalena Archipelago,4,Calonectris diomedea_La Maddalena Archipelago,Calonectris diomedea_La Maddalena Archipelago_04,359.9917
Calonectris diomedea,La Maddalena Archipelago,5,Calonectris diomedea_La Maddalena Archipelago,Calonectris diomedea_La Maddalena Archipelago_05,351.4123
Calonectris diomedea,La Maddalena Archipelago,6,Calonectris diomedea_La Maddalena Archipelago,Calonectris diomedea_La Maddalena Archipelago_06,304.2569
Calonectris diomedea,La Maddalena Archipelago,7,Calonectris diomedea_La Maddalena Archipelago,Calonectris diomedea_La Maddalena Archipelago_07,287.3395
Calonectris diomedea,La Maddalena Archipelago,8,Calonectris diomedea_La Maddalena Archipelago,Calonectris diomedea_La Maddalena Archipelago_08,313.159
Calonectris diomedea,La Maddalena Archipelago,9,Calonectris diomedea_La Maddalena Archipelago,Calonectris diomedea_La Maddalena Archipelago_09,290.565
Calonectris diomedea,La Maddalena Archipelago,10,Calonectris diomedea_La Maddalena Archipelago,Calonectris diomedea_La Maddalena Archipelago_10,273.2199
Calonectris diomedea,La Maddalena Archipelago,11,Calonectris diomedea_La Maddalena Archipelago,Calonectris diomedea_La Maddalena Archipelago_11,2.3724
Calonectris diomedea,La Maddalena Archipelago,12,Calonectris diomedea_La Maddalena Archipelago,Calonectris diomedea_La Maddalena Archipelago_12,0.6309
Calonectris diomedea,Linosa,6,Calonectris diomedea_Linosa,Calonectris diomedea_Linosa_06,561.3673
Calonectris diomedea,Linosa,7,Calonectris diomedea_Linosa,Calonectris diomedea_Linosa_07,554.037
Calonectris diomedea,Linosa,8,Calonectris diomedea_Linosa,Calonectris diomedea_Linosa_08,561.052
Calonectris diomedea,Linosa,9,Calonectris diomedea_Linosa,Calonectris diomedea_Linosa_09,587.2938
Calonectris diomedea,Malta,1,Calonectris diomedea_Malta,Calonectris diomedea_Malta_01,0.2963
Calonectris diomedea,Malta,2,Calonectris diomedea_Malta,Calonectris diomedea_Malta_02,14.6559
Calonectris diomedea,Malta,3,Calonectris diomedea_Malta,Calonectris diomedea_Malta_03,25.5199
Calonectris diomedea,Malta,4,Calonectris diomedea_Malta,Calonectris diomedea_Malta_04,505.5815
Calonectris diomedea,Malta,5,Calonectris diomedea_Malta,Calonectris diomedea_Malta_05,492.7531
Calonectris diomedea,Malta,6,Calonectris diomedea_Malta,Calonectris diomedea_Malta_06,519.9482
Calonectris diomedea,Malta,7,Calonectris diomedea_Malta,Calonectris diomedea_Malta_07,514.3198
Calonectris diomedea,Malta,8,Calonectris diomedea_Malta,Calonectris diomedea_Malta_08,456.7129
Calonectris diomedea,Malta,9,Calonectris diomedea_Malta,Calonectris diomedea_Malta_09,460.3221
Calonectris diomedea,Malta,10,Calonectris diomedea_Malta,Calonectris diomedea_Malta_10,523.682
Calonectris diomedea,Malta,11,Calonectris diomedea_Malta,Calonectris diomedea_Malta_11,109.3064
Calonectris diomedea,Malta,12,Calonectris diomedea_Malta,Calonectris diomedea_Malta_12,0.3599
Calonectris diomedea,Tremiti Archipelago,6,Calonectris diomedea_Tremiti Archipelago,Calonectris diomedea_Tremiti Archipelago_06,450.6153
Calonectris diomedea,Tremiti Archipelago,7,Calonectris diomedea_Tremiti Archipelago,Calonectris diomedea_Tremiti Archipelago_07,334.5391
Calonectris diomedea,Tuscany Archipelago,7,Calonectris diomedea_Tuscany Archipelago,Calonectris diomedea_Tuscany Archipelago_07,246.0349
Calonectris diomedea,Tuscany Archipelago,8,Calonectris diomedea_Tuscany Archipelago,Calonectris diomedea_Tuscany Archipelago_08,240.3357
Calonectris diomedea,Zembra,1,Calonectris diomedea_Zembra,Calonectris diomedea_Zembra_01,0.776
Calonectris diomedea,Zembra,2,Calonectris diomedea_Zembra,Calonectris diomedea_Zembra_02,21.054
Calonectris diomedea,Zembra,4,Calonectris diomedea_Zembra,Calonectris diomedea_Zembra_04,569.8798
Calonectris diomedea,Zembra,5,Calonectris diomedea_Zembra,Calonectris diomedea_Zembra_05,546.5621
Calonectris diomedea,Zembra,6,Calonectris diomedea_Zembra,Calonectris diomedea_Zembra_06,601.652
Calonectris diomedea,Zembra,7,Calonectris diomedea_Zembra,Calonectris diomedea_Zembra_07,557.6097
Calonectris diomedea,Zembra,8,Calonectris diomedea_Zembra,Calonectris diomedea_Zembra_08,564.3081
Calonectris diomedea,Zembra,9,Calonectris diomedea_Zembra,Calonectris diomedea_Zembra_09,559.3499
Calonectris diomedea,Zembra,10,Calonectris diomedea_Zembra,Calonectris diomedea_Zembra_10,434.8775
Calonectris diomedea,Zembra,11,Calonectris diomedea_Zembra,Calonectris diomedea_Zembra_11,81.4494
Calonectris diomedea,Zembra,12,Calonectris diomedea_Zembra,Calonectris diomedea_Zembra_12,0.702
Calonectris edwardsii,Cape Verde,1,Calonectris edwardsii_Cape Verde,Calonectris edwardsii_Cape Verde_01,20.2953
Calonectris edwardsii,Cape Verde,2,Calonectris edwardsii_Cape Verde,Calonectris edwardsii_Cape Verde_02,25.9352
Calonectris edwardsii,Cape Verde,3,Calonectris edwardsii_Cape Verde,Calonectris edwardsii_Cape Verde_03,0.416
Calonectris edwardsii,Cape Verde,4,Calonectris edwardsii_Cape Verde,Calonectris edwardsii_Cape Verde_04,0.4053
Calonectris edwardsii,Cape Verde,5,Calonectris edwardsii_Cape Verde,Calonectris edwardsii_Cape Verde_05,0.2935
Calonectris edwardsii,Cape Verde,6,Calonectris edwardsii_Cape Verde,Calonectris edwardsii_Cape Verde_06,0.2673
Calonectris edwardsii,Cape Verde,7,Calonectris edwardsii_Cape Verde,Calonectris edwardsii_Cape Verde_07,0.2341
Calonectris edwardsii,Cape Verde,8,Calonectris edwardsii_Cape Verde,Calonectris edwardsii_Cape Verde_08,0.2827
Calonectris edwardsii,Cape Verde,9,Calonectris edwardsii_Cape Verde,Calonectris edwardsii_Cape Verde_09,0.3147
Calonectris edwardsii,Cape Verde,10,Calonectris edwardsii_Cape Verde,Calonectris edwardsii_Cape Verde_10,1.8479
Calonectris edwardsii,Cape Verde,11,Calonectris edwardsii_Cape Verde,Calonectris edwardsii_Cape Verde_11,3.4182
Calonectris edwardsii,Cape Verde,12,Calonectris edwardsii_Cape Verde,Calonectris edwardsii_Cape Verde_12,20.0655
Calonectris leucomelas,Iwate,1,Calonectris leucomelas_Iwate,Calonectris leucomelas_Iwate_01,4.7096
Calonectris leucomelas,Iwate,2,Calonectris leucomelas_Iwate,Calonectris leucomelas_Iwate_02,5.3532
Calonectris leucomelas,Iwate,3,Calonectris leucomelas_Iwate,Calonectris leucomelas_Iwate_03,36.2703
Calonectris leucomelas,Iwate,4,Calonectris leucomelas_Iwate,Calonectris leucomelas_Iwate_04,42.2243
Calonectris leucomelas,Iwate,5,Calonectris leucomelas_Iwate,Calonectris leucomelas_Iwate_05,43.9026
Calonectris leucomelas,Iwate,6,Calonectris leucomelas_Iwate,Calonectris leucomelas_Iwate_06,41.8856
Calonectris leucomelas,Iwate,7,Calonectris leucomelas_Iwate,Calonectris leucomelas_Iwate_07,42.3489
Calonectris leucomelas,Iwate,8,Calonectris leucomelas_Iwate,Calonectris leucomelas_Iwate_08,39.4465
Calonectris leucomelas,Iwate,9,Calonectris leucomelas_Iwate,Calonectris leucomelas_Iwate_09,31.7644
Calonectris leucomelas,Iwate,10,Calonectris leucomelas_Iwate,Calonectris leucomelas_Iwate_10,34.4598
Calonectris leucomelas,Iwate,11,Calonectris leucomelas_Iwate,Calonectris leucomelas_Iwate_11,14.2819
Calonectris leucomelas,Iwate,12,Calonectris leucomelas_Iwate,Calonectris leucomelas_Iwate_12,5.4354
Calonectris leucomelas,Korea,1,Calonectris leucomelas_Korea,Calonectris leucomelas_Korea_01,43.4002
Calonectris leucomelas,Korea,2,Calonectris leucomelas_Korea,Calonectris leucomelas_Korea_02,42.5414
Calonectris leucomelas,Korea,3,Calonectris leucomelas_Korea,Calonectris leucomelas_Korea_03,45.4245
Calonectris leucomelas,Korea,4,Calonectris leucomelas_Korea,Calonectris leucomelas_Korea_04,72.1249
Calonectris leucomelas,Korea,10,Calonectris leucomelas_Korea,Calonectris leucomelas_Korea_10,170.8448
Calonectris leucomelas,Korea,11,Calonectris leucomelas_Korea,Calonectris leucomelas_Korea_11,110.448
Calonectris leucomelas,Korea,12,Calonectris leucomelas_Korea,Calonectris leucomelas_Korea_12,51.0578
Calonectris leucomelas,Mikura,1,Calonectris leucomelas_Mikura,Calonectris leucomelas_Mikura_01,1.5736
Calonectris leucomelas,Mikura,2,Calonectris leucomelas_Mikura,Calonectris leucomelas_Mikura_02,3.8877
Calonectris leucomelas,Mikura,3,Calonectris leucomelas_Mikura,Calonectris leucomelas_Mikura_03,36.3921
Calonectris leucomelas,Mikura,4,Calonectris leucomelas_Mikura,Calonectris leucomelas_Mikura_04,56.7481
Calonectris leucomelas,Mikura,5,Calonectris leucomelas_Mikura,Calonectris leucomelas_Mikura_05,56.069
Calonectris leucomelas,Mikura,6,Calonectris leucomelas_Mikura,Calonectris leucomelas_Mikura_06,56.5114
Calonectris leucomelas,Mikura,7,Calonectris leucomelas_Mikura,Calonectris leucomelas_Mikura_07,51.0794
Calonectris leucomelas,Mikura,8,Calonectris leucomelas_Mikura,Calonectris leucomelas_Mikura_08,44.5984
Calonectris leucomelas,Mikura,9,Calonectris leucomelas_Mikura,Calonectris leucomelas_Mikura_09,43.6442
Calonectris leucomelas,Mikura,10,Calonectris leucomelas_Mikura,Calonectris leucomelas_Mikura_10,39.512
Calonectris leucomelas,Mikura,11,Calonectris leucomelas_Mikura,Calonectris leucomelas_Mikura_11,16.5977
Calonectris leucomelas,Mikura,12,Calonectris leucomelas_Mikura,Calonectris leucomelas_Mikura_12,3.6355
Calonectris leucomelas,Niigata,8,Calonectris leucomelas_Niigata,Calonectris leucomelas_Niigata_08,30.4367
Calonectris leucomelas,Niigata,9,Calonectris leucomelas_Niigata,Calonectris leucomelas_Niigata_09,30.7191
Calonectris leucomelas,Niigata,10,Calonectris leucomelas_Niigata,Calonectris leucomelas_Niigata_10,28.4869
Daption capense,Davis,1,Daption capense_Davis,Daption capense_Davis_01,0.001
Daption capense,Davis,2,Daption capense_Davis,Daption capense_Davis_02,0.001
Daption capense,Davis,12,Daption capense_Davis,Daption capense_Davis_12,8.00E-04
Daption capense,Pointe Geologie,4,Daption capense_Pointe Geologie,Daption capense_Pointe Geologie_04,0.0022
Daption capense,Pointe Geologie,5,Daption capense_Pointe Geologie,Daption capense_Pointe Geologie_05,0.1719
Daption capense,Pointe Geologie,6,Daption capense_Pointe Geologie,Daption capense_Pointe Geologie_06,0.8064
Daption capense,Pointe Geologie,7,Daption capense_Pointe Geologie,Daption capense_Pointe Geologie_07,1.9503
Daption capense,Pointe Geologie,8,Daption capense_Pointe Geologie,Daption capense_Pointe Geologie_08,0.7976
Daption capense,Pointe Geologie,9,Daption capense_Pointe Geologie,Daption capense_Pointe Geologie_09,0.0085
Fulmarus glacialis,Bjørnøya,1,Fulmarus glacialis_Bjørnøya,Fulmarus glacialis_Bjørnøya_01,1.8599
Fulmarus glacialis,Bjørnøya,2,Fulmarus glacialis_Bjørnøya,Fulmarus glacialis_Bjørnøya_02,1.7285
Fulmarus glacialis,Bjørnøya,4,Fulmarus glacialis_Bjørnøya,Fulmarus glacialis_Bjørnøya_04,1.8331
Fulmarus glacialis,Bjørnøya,8,Fulmarus glacialis_Bjørnøya,Fulmarus glacialis_Bjørnøya_08,1.5104
Fulmarus glacialis,Bjørnøya,9,Fulmarus glacialis_Bjørnøya,Fulmarus glacialis_Bjørnøya_09,1.1451
Fulmarus glacialis,Bjørnøya,10,Fulmarus glacialis_Bjørnøya,Fulmarus glacialis_Bjørnøya_10,1.3024
Fulmarus glacialis,Bjørnøya,11,Fulmarus glacialis_Bjørnøya,Fulmarus glacialis_Bjørnøya_11,1.6016
Fulmarus glacialis,Bjørnøya,12,Fulmarus glacialis_Bjørnøya,Fulmarus glacialis_Bjørnøya_12,1.9531
Fulmarus glacialis,Breidafjordur,1,Fulmarus glacialis_Breidafjordur,Fulmarus glacialis_Breidafjordur_01,0.5233
Fulmarus glacialis,Breidafjordur,2,Fulmarus glacialis_Breidafjordur,Fulmarus glacialis_Breidafjordur_02,0.5393
Fulmarus glacialis,Breidafjordur,4,Fulmarus glacialis_Breidafjordur,Fulmarus glacialis_Breidafjordur_04,0.5006
Fulmarus glacialis,Breidafjordur,5,Fulmarus glacialis_Breidafjordur,Fulmarus glacialis_Breidafjordur_05,0.365
Fulmarus glacialis,Breidafjordur,6,Fulmarus glacialis_Breidafjordur,Fulmarus glacialis_Breidafjordur_06,0.3707
Fulmarus glacialis,Breidafjordur,7,Fulmarus glacialis_Breidafjordur,Fulmarus glacialis_Breidafjordur_07,0.3677
Fulmarus glacialis,Breidafjordur,8,Fulmarus glacialis_Breidafjordur,Fulmarus glacialis_Breidafjordur_08,0.5325
Fulmarus glacialis,Breidafjordur,9,Fulmarus glacialis_Breidafjordur,Fulmarus glacialis_Breidafjordur_09,0.5927
Fulmarus glacialis,Breidafjordur,10,Fulmarus glacialis_Breidafjordur,Fulmarus glacialis_Breidafjordur_10,0.5554
Fulmarus glacialis,Breidafjordur,11,Fulmarus glacialis_Breidafjordur,Fulmarus glacialis_Breidafjordur_11,0.4454
Fulmarus glacialis,Breidafjordur,12,Fulmarus glacialis_Breidafjordur,Fulmarus glacialis_Breidafjordur_12,0.424
Fulmarus glacialis,Cape Vera,1,Fulmarus glacialis_Cape Vera,Fulmarus glacialis_Cape Vera_01,0.471
Fulmarus glacialis,Cape Vera,2,Fulmarus glacialis_Cape Vera,Fulmarus glacialis_Cape Vera_02,0.7084
Fulmarus glacialis,Cape Vera,3,Fulmarus glacialis_Cape Vera,Fulmarus glacialis_Cape Vera_03,0.3034
Fulmarus glacialis,Cape Vera,6,Fulmarus glacialis_Cape Vera,Fulmarus glacialis_Cape Vera_06,0.0149
Fulmarus glacialis,Cape Vera,7,Fulmarus glacialis_Cape Vera,Fulmarus glacialis_Cape Vera_07,0.0145
Fulmarus glacialis,Cape Vera,8,Fulmarus glacialis_Cape Vera,Fulmarus glacialis_Cape Vera_08,0.0173
Fulmarus glacialis,Cape Vera,9,Fulmarus glacialis_Cape Vera,Fulmarus glacialis_Cape Vera_09,0.0821
Fulmarus glacialis,Cape Vera,10,Fulmarus glacialis_Cape Vera,Fulmarus glacialis_Cape Vera_10,0.2313
Fulmarus glacialis,Cape Vera,11,Fulmarus glacialis_Cape Vera,Fulmarus glacialis_Cape Vera_11,0.3291
Fulmarus glacialis,Cape Vera,12,Fulmarus glacialis_Cape Vera,Fulmarus glacialis_Cape Vera_12,0.3595
Fulmarus glacialis,Faroe Islands,1,Fulmarus glacialis_Faroe Islands,Fulmarus glacialis_Faroe Islands_01,0.8004
Fulmarus glacialis,Faroe Islands,2,Fulmarus glacialis_Faroe Islands,Fulmarus glacialis_Faroe Islands_02,0.8976
Fulmarus glacialis,Faroe Islands,4,Fulmarus glacialis_Faroe Islands,Fulmarus glacialis_Faroe Islands_04,0.963
Fulmarus glacialis,Faroe Islands,5,Fulmarus glacialis_Faroe Islands,Fulmarus glacialis_Faroe Islands_05,0.788
Fulmarus glacialis,Faroe Islands,6,Fulmarus glacialis_Faroe Islands,Fulmarus glacialis_Faroe Islands_06,0.8023
Fulmarus glacialis,Faroe Islands,7,Fulmarus glacialis_Faroe Islands,Fulmarus glacialis_Faroe Islands_07,0.8565
Fulmarus glacialis,Faroe Islands,8,Fulmarus glacialis_Faroe Islands,Fulmarus glacialis_Faroe Islands_08,0.914
Fulmarus glacialis,Faroe Islands,9,Fulmarus glacialis_Faroe Islands,Fulmarus glacialis_Faroe Islands_09,0.9818
Fulmarus glacialis,Faroe Islands,10,Fulmarus glacialis_Faroe Islands,Fulmarus glacialis_Faroe Islands_10,0.8547
Fulmarus glacialis,Faroe Islands,11,Fulmarus glacialis_Faroe Islands,Fulmarus glacialis_Faroe Islands_11,0.7944
Fulmarus glacialis,Faroe Islands,12,Fulmarus glacialis_Faroe Islands,Fulmarus glacialis_Faroe Islands_12,0.6744
Fulmarus glacialis,Jan Mayen,1,Fulmarus glacialis_Jan Mayen,Fulmarus glacialis_Jan Mayen_01,1.1227
Fulmarus glacialis,Jan Mayen,2,Fulmarus glacialis_Jan Mayen,Fulmarus glacialis_Jan Mayen_02,1.1478
Fulmarus glacialis,Jan Mayen,4,Fulmarus glacialis_Jan Mayen,Fulmarus glacialis_Jan Mayen_04,1.189
Fulmarus glacialis,Jan Mayen,5,Fulmarus glacialis_Jan Mayen,Fulmarus glacialis_Jan Mayen_05,0.5805
Fulmarus glacialis,Jan Mayen,6,Fulmarus glacialis_Jan Mayen,Fulmarus glacialis_Jan Mayen_06,0.4743
Fulmarus glacialis,Jan Mayen,7,Fulmarus glacialis_Jan Mayen,Fulmarus glacialis_Jan Mayen_07,0.3233
Fulmarus glacialis,Jan Mayen,8,Fulmarus glacialis_Jan Mayen,Fulmarus glacialis_Jan Mayen_08,0.7752
Fulmarus glacialis,Jan Mayen,9,Fulmarus glacialis_Jan Mayen,Fulmarus glacialis_Jan Mayen_09,0.7463
Fulmarus glacialis,Jan Mayen,10,Fulmarus glacialis_Jan Mayen,Fulmarus glacialis_Jan Mayen_10,0.7057
Fulmarus glacialis,Jan Mayen,11,Fulmarus glacialis_Jan Mayen,Fulmarus glacialis_Jan Mayen_11,0.6822
Fulmarus glacialis,Jan Mayen,12,Fulmarus glacialis_Jan Mayen,Fulmarus glacialis_Jan Mayen_12,0.8469
Fulmarus glacialis,Norway,1,Fulmarus glacialis_Norway,Fulmarus glacialis_Norway_01,2.0488
Fulmarus glacialis,Norway,2,Fulmarus glacialis_Norway,Fulmarus glacialis_Norway_02,2.1686
Fulmarus glacialis,Norway,4,Fulmarus glacialis_Norway,Fulmarus glacialis_Norway_04,2.6744
Fulmarus glacialis,Norway,5,Fulmarus glacialis_Norway,Fulmarus glacialis_Norway_05,2.5085
Fulmarus glacialis,Norway,6,Fulmarus glacialis_Norway,Fulmarus glacialis_Norway_06,2.883
Fulmarus glacialis,Norway,7,Fulmarus glacialis_Norway,Fulmarus glacialis_Norway_07,2.8861
Fulmarus glacialis,Norway,8,Fulmarus glacialis_Norway,Fulmarus glacialis_Norway_08,2.1901
Fulmarus glacialis,Norway,9,Fulmarus glacialis_Norway,Fulmarus glacialis_Norway_09,1.5497
Fulmarus glacialis,Norway,10,Fulmarus glacialis_Norway,Fulmarus glacialis_Norway_10,1.2501
Fulmarus glacialis,Norway,11,Fulmarus glacialis_Norway,Fulmarus glacialis_Norway_11,1.1882
Fulmarus glacialis,Norway,12,Fulmarus glacialis_Norway,Fulmarus glacialis_Norway_12,1.6816
Fulmarus glacialis,Scotland,1,Fulmarus glacialis_Scotland,Fulmarus glacialis_Scotland_01,1.1079
Fulmarus glacialis,Scotland,2,Fulmarus glacialis_Scotland,Fulmarus glacialis_Scotland_02,1.1128
Fulmarus glacialis,Scotland,3,Fulmarus glacialis_Scotland,Fulmarus glacialis_Scotland_03,2.7621
