"species","breeding_country","group_1","Percent_1","group_2","Percent_2","group_3","Percent_3","group_4","Percent_4","group_5","Percent_5","group_6","Percent_6","group_7","Percent_7"
"Ardenna gravis","UK","High Seas",50.4507404566647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ardenna gravis","UK",NA,NA,"Argentina",19.6794397929286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ardenna gravis","UK",NA,NA,NA,NA,"United Kingdom",13.0345499935067,NA,NA,NA,NA,NA,NA,NA,NA
"Ardenna gravis","UK",NA,NA,NA,NA,NA,NA,"Uruguay",6.57719995589175,"59",10.2580698010082,NA,NA,NA,NA
"Calonectris edwardsii","Cape Verde","Brazil",53.3516270428167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calonectris edwardsii","Cape Verde",NA,NA,"High Seas",28.4374954753885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calonectris edwardsii","Cape Verde",NA,NA,NA,NA,"Uruguay",9.12345203381082,"15",9.08742544798395,NA,NA,NA,NA,NA,NA
"Calonectris borealis","Spain","High Seas",54.4877945458021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calonectris borealis","Spain",NA,NA,"South Africa",12.2555557360228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calonectris borealis","Spain",NA,NA,NA,NA,"Spain",12.1994225913097,NA,NA,NA,NA,NA,NA,NA,NA
"Calonectris borealis","Spain",NA,NA,NA,NA,NA,NA,"Portugal",8.67080754976101,"41",12.3864195771044,NA,NA,NA,NA
"Puffinus puffinus","UK","High Seas",24.8065097889442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Puffinus puffinus","UK",NA,NA,"Argentina",16.4514319396089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Puffinus puffinus","UK",NA,NA,NA,NA,"France",10.9046371112877,NA,NA,NA,NA,NA,NA,NA,NA
"Puffinus puffinus","UK",NA,NA,NA,NA,NA,NA,"Spain",9.49115014549728,NA,NA,NA,NA,NA,NA
"Puffinus puffinus","UK",NA,NA,NA,NA,NA,NA,NA,NA,"United Kingdom",8.96328225606888,"88",29.3829887585931,NA,NA
"Pterodroma macroptera","South Africa","High Seas",80.5082217571644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma macroptera","South Africa",NA,NA,"South Africa",18.1425769337985,"2",1.34920130903705,NA,NA,NA,NA,NA,NA,NA,NA
"Procellaria cinerea","UK","High Seas",53.0205182425425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Procellaria cinerea","UK",NA,NA,"United Kingdom",45.6736691993899,"10",1.30581255806756,NA,NA,NA,NA,NA,NA,NA,NA
"Ardenna pacifica","France","High Seas",42.2564609518715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ardenna pacifica","France",NA,NA,"France",17.7773428355549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ardenna pacifica","France",NA,NA,NA,NA,"France",15.2206716807151,NA,NA,NA,NA,NA,NA,NA,NA
"Ardenna pacifica","France",NA,NA,NA,NA,NA,NA,"Republic of Mauritius",12.7740150039169,NA,NA,NA,NA,NA,NA
"Ardenna pacifica","France",NA,NA,NA,NA,NA,NA,NA,NA,"Madagascar",5.03250351118187,"22",6.93900601675971,NA,NA
"Pterodroma leucoptera","Australia","High Seas",62.5356754796462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma leucoptera","Australia",NA,NA,"Australia",30.1632222122164,"34",7.30110230813745,NA,NA,NA,NA,NA,NA,NA,NA
"Puffinus gavia","New Zealand","New Zealand",85.182140684088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Puffinus gavia","New Zealand",NA,NA,"Australia",7.64585714941666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Puffinus gavia","New Zealand",NA,NA,NA,NA,"High Seas",7.10271407667809,"1",0.0692880898172008,NA,NA,NA,NA,NA,NA
"Hydrobates monteiroi","Portugal","Portugal",88.9652641874057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hydrobates monteiroi","Portugal",NA,NA,"High Seas",11.0347358125943,"0",0,NA,NA,NA,NA,NA,NA,NA,NA
"Hydrobates castro","Portugal","Portugal",38.5850827839224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hydrobates castro","Portugal",NA,NA,"High Seas",30.7980138394029,"62",30.6169033766747,NA,NA,NA,NA,NA,NA,NA,NA
"Hydrobates furcatus","Canada","High Seas",42.6272550811266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hydrobates furcatus","Canada",NA,NA,"Canada",30.4328282626939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hydrobates furcatus","Canada",NA,NA,NA,NA,"United States",26.5435789527538,"1",0.396337703425773,NA,NA,NA,NA,NA,NA
"Pterodroma cervicalis","Australia","Australia",55.8243018619709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma cervicalis","Australia",NA,NA,"High Seas",25.7670572583878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma cervicalis","Australia",NA,NA,NA,NA,"Australia",8.66514475041231,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma cervicalis","Australia",NA,NA,NA,NA,NA,NA,"New Zealand",8.24627705129171,"2",1.49721907793725,NA,NA,NA,NA
"Puffinus lherminieri","Portugal","High Seas",43.4106290269368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Puffinus lherminieri","Portugal",NA,NA,"Portugal",28.110733797949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Puffinus lherminieri","Portugal",NA,NA,NA,NA,"Portugal",14.4373250276454,NA,NA,NA,NA,NA,NA,NA,NA
"Puffinus lherminieri","Portugal",NA,NA,NA,NA,NA,NA,"Spain",6.49265886222067,"21",7.5486532852481,NA,NA,NA,NA
"Pterodroma neglecta","Australia","Australia",60.6850775362635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma neglecta","Australia",NA,NA,"High Seas",25.4546370862513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma neglecta","Australia",NA,NA,NA,NA,"New Zealand",12.4349295000254,"2",1.42535587745983,NA,NA,NA,NA,NA,NA
"Pelagodroma marina","Portugal","Portugal",58.2830073365219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pelagodroma marina","Portugal",NA,NA,"Spain",35.4652229298081,"3",6.25176973367007,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma nigripennis","Australia","High Seas",48.6290811826682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma nigripennis","Australia",NA,NA,"Australia",35.0805582405601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma nigripennis","Australia",NA,NA,NA,NA,"Australia",8.84060312140462,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma nigripennis","Australia",NA,NA,NA,NA,NA,NA,"New Zealand",6.43976708696426,"2",1.00999036840278,NA,NA,NA,NA
"Puffinus assimilis","Australia","Australia",49.4311207629419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Puffinus assimilis","Australia",NA,NA,"High Seas",48.2202134209444,"5",2.34866581611366,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma madeira","Portugal","High Seas",64.6610484980983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma madeira","Portugal",NA,NA,"Portugal",17.1114609103604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma madeira","Portugal",NA,NA,NA,NA,"Portugal",9.80154830137158,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma madeira","Portugal",NA,NA,NA,NA,NA,NA,"Spain",5.11978384850163,"24",3.30615844166811,NA,NA,NA,NA
"Procellaria parkinsoni","New Zealand","High Seas",41.6487974250141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Procellaria parkinsoni","New Zealand",NA,NA,"Colombia",13.3110953282306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Procellaria parkinsoni","New Zealand",NA,NA,NA,NA,"New Zealand",12.0569410815713,NA,NA,NA,NA,NA,NA,NA,NA
"Procellaria parkinsoni","New Zealand",NA,NA,NA,NA,NA,NA,"Ecuador",11.6056677200138,NA,NA,NA,NA,NA,NA
"Procellaria parkinsoni","New Zealand",NA,NA,NA,NA,NA,NA,NA,NA,"Chile",6.19651434923058,"40",15.1809840959397,NA,NA
"Puffinus opisthomelas","Mexico","Mexico",95.8997293770635,"2",4.10027062293653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma magentae","New Zealand","High Seas",82.7894697805476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma magentae","New Zealand",NA,NA,"New Zealand",7.94977476702532,"16",9.2607554524271,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma gouldi","New Zealand","New Zealand",46.7152711848092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma gouldi","New Zealand",NA,NA,"High Seas",36.5506788638765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma gouldi","New Zealand",NA,NA,NA,NA,"Australia",9.56732874174494,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma gouldi","New Zealand",NA,NA,NA,NA,NA,NA,"Australia",7.16672120956938,"0",0,NA,NA,NA,NA
"Procellaria cinerea","South Africa","High Seas",88.1327026314431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Procellaria cinerea","South Africa",NA,NA,"United Kingdom",8.65343059579027,"5",3.21386677276662,NA,NA,NA,NA,NA,NA,NA,NA
"Ardenna tenuirostris","Australia","Japan",25.0736616414736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ardenna tenuirostris","Australia",NA,NA,"High Seas",24.5735660835188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ardenna tenuirostris","Australia",NA,NA,NA,NA,"Australia",17.1812332182471,NA,NA,NA,NA,NA,NA,NA,NA
"Ardenna tenuirostris","Australia",NA,NA,NA,NA,NA,NA,"Russia",16.8731853415345,NA,NA,NA,NA,NA,NA
"Ardenna tenuirostris","Australia",NA,NA,NA,NA,NA,NA,NA,NA,"Japan/Russia",12.4060472778535,"21",3.89230643737253,NA,NA
