"species","breeding_country","group_1","Percent_1","group_2","Percent_2","group_3","Percent_3","group_4","Percent_4"
"Calonectris borealis","Portugal","Spain/Morocco",66.0353963395916,"United Kingdom",30.8051385349098,"24",3.15946512549857,NA,NA
"Procellaria aequinoctialis","UK","Uruguay",66.7789900508043,"Argentina",27.7227429090808,"Brazil",5.35069867694637,"4",0.147568363168541
