"files","species","site","colony","pop","population","sp_pop"
"Calonectris borealis_Portugal_Berlengas_609.csv","Calonectris borealis","Portugal","Berlengas","Berlengas","Berlengas, Portugal","Calonectris borealis_Berlengas"
"Procellaria aequinoctialis_South Georgia_Bird Island (SGSSI (IGSISS))_1386.csv","Procellaria aequinoctialis","South Georgia","Bird Island (SGSSI (IGSISS))","South Georgia","Bird Island (SGSSI (IGSISS)), South Georgia","Procellaria aequinoctialis_South Georgia"
"Procellaria aequinoctialis_South Georgia_Bird Island (SGSSI (IGSISS))_439.csv","Procellaria aequinoctialis","South Georgia","Bird Island (SGSSI (IGSISS))","South Georgia","Bird Island (SGSSI (IGSISS)), South Georgia","Procellaria aequinoctialis_South Georgia"
