"dataset_id","scientific_name","common_name","site_name","colony_name","lat_colony","lon_colony","device","bird_id","track_id","age","sex","breed_stage","breed_status","argos_quality","equinox","dtime","track_time","longitude","latitude","bird_track","sp_pop","unique_id","pop","unique_months"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","29047",6085,"adult","male","breeding","breeding",NA,NA,"2007-04-16 00:35:00",NA,-8.75,33.6699999899479,"29047 6085","Calonectris borealis_Berlengas","Calonectris borealis_29047_Berlengas","Berlengas","2007-04"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","29047",6085,"adult","male","breeding","breeding",NA,NA,"2007-04-18 00:37:00",NA,-9.37,35.0599999906638,"29047 6085","Calonectris borealis_Berlengas","Calonectris borealis_29047_Berlengas","Berlengas","2007-04"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","29047",6085,"adult","male","breeding","breeding",NA,NA,"2007-04-20 00:36:00",NA,-9.23,34.9699999906172,"29047 6085","Calonectris borealis_Berlengas","Calonectris borealis_29047_Berlengas","Berlengas","2007-04"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","29047",6085,"adult","male","breeding","breeding",NA,NA,"2007-04-21 12:34:00",NA,-8.8,33.9499999900913,"29047 6085","Calonectris borealis_Berlengas","Calonectris borealis_29047_Berlengas","Berlengas","2007-04"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","29047",6085,"adult","male","breeding","breeding",NA,NA,"2007-04-27 00:29:00",NA,-7.81,36.459999991388,"29047 6085","Calonectris borealis_Berlengas","Calonectris borealis_29047_Berlengas","Berlengas","2007-04"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","29047",6085,"adult","male","breeding","breeding",NA,NA,"2007-04-18 12:40:00",NA,-10.14,35.3799999908294,"29047 6085","Calonectris borealis_Berlengas","Calonectris borealis_29047_Berlengas","Berlengas","2007-04"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","29047",6085,"adult","male","breeding","breeding",NA,NA,"2007-04-19 00:34:00",NA,-8.67,38.8499999926006,"29047 6085","Calonectris borealis_Berlengas","Calonectris borealis_29047_Berlengas","Berlengas","2007-04"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","29047",6085,"adult","male","breeding","breeding",NA,NA,"2007-04-19 12:30:00",NA,-7.7,38.4899999924214,"29047 6085","Calonectris borealis_Berlengas","Calonectris borealis_29047_Berlengas","Berlengas","2007-04"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","29047",6085,"adult","male","breeding","breeding",NA,NA,"2007-04-20 12:33:00",NA,-8.5,31.8699999890457,"29047 6085","Calonectris borealis_Berlengas","Calonectris borealis_29047_Berlengas","Berlengas","2007-04"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","29047",6085,"adult","male","breeding","breeding",NA,NA,"2007-04-21 00:29:00",NA,-7.53,31.5399999888853,"29047 6085","Calonectris borealis_Berlengas","Calonectris borealis_29047_Berlengas","Berlengas","2007-04"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","29047",6085,"adult","male","breeding","breeding",NA,NA,"2007-04-23 12:28:00",NA,-7.4,32.6699999894417,"29047 6085","Calonectris borealis_Berlengas","Calonectris borealis_29047_Berlengas","Berlengas","2007-04"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","29047",6085,"adult","male","breeding","breeding",NA,NA,"2007-04-26 00:32:00",NA,-8.51,37.5799999919622,"29047 6085","Calonectris borealis_Berlengas","Calonectris borealis_29047_Berlengas","Berlengas","2007-04"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","29047",6085,"adult","male","breeding","breeding",NA,NA,"2007-04-26 12:29:00",NA,-7.79,37.7999999920739,"29047 6085","Calonectris borealis_Berlengas","Calonectris borealis_29047_Berlengas","Berlengas","2007-04"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","29047",6085,"adult","male","breeding","breeding",NA,NA,"2007-04-16 12:37:00",NA,-9.28,35.5099999908968,"29047 6085","Calonectris borealis_Berlengas","Calonectris borealis_29047_Berlengas","Berlengas","2007-04"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","29047",6085,"adult","male","breeding","breeding",NA,NA,"2007-04-17 00:37:00",NA,-9.31,35.8299999910625,"29047 6085","Calonectris borealis_Berlengas","Calonectris borealis_29047_Berlengas","Berlengas","2007-04"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","29047",6085,"adult","male","breeding","breeding",NA,NA,"2007-04-17 12:37:00",NA,-9.34,35.4399999908605,"29047 6085","Calonectris borealis_Berlengas","Calonectris borealis_29047_Berlengas","Berlengas","2007-04"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","29047",6085,"adult","male","breeding","breeding",NA,NA,"2007-04-25 12:37:00",NA,-9.74,35.6899999909899,"29047 6085","Calonectris borealis_Berlengas","Calonectris borealis_29047_Berlengas","Berlengas","2007-04"
