"sp_pop","species","population","n_months","population_exposure","density_sum"
"Calonectris borealis_Berlengas","Calonectris borealis","Berlengas",8,9.2108625,NA
"Procellaria aequinoctialis_South Georgia","Procellaria aequinoctialis","South Georgia",10,6.15064,NA
