"sp_country","seasons","n_pops","score","species","breeding_country"
"Calonectris borealis_Portugal",1,1,9.4416,"Calonectris borealis","Portugal"
"Procellaria aequinoctialis_UK",1,1,6.208,"Procellaria aequinoctialis","UK"
