"scientific_name","common_name","individuals","locations","n_pops","populations","mean_tracking_year"
"Calonectris borealis","Cory's Shearwater",10,3161,1,"Berlengas",2006
"Procellaria aequinoctialis","White-chinned Petrel",22,2880,1,"South Georgia",2011
