species_pop,tracks_breeding,tracks_nonbreeding,ref_breeding,ref_nonbreeding,breeding,nonbreeding,Tracking breeding season months,Tracking non-breeding season months,Published breeding season,Sources,Reference1,Reference2,Reference3
Calonectris borealis_Berlengas,04_05_06_07_08_09_10,01_02_03_11_12,04_05_06_07_08_09_10,01_02_03_11_12,04_05_06_07_08_09_10,01_02_03_11_12,Apr-Oct,Nov-Mar,Apr-Oct,Davies et al. 2021; data owners com. pess.,"Davies, T. E. et al. Multispecies tracking reveals a major seabird hotspot in the North Atlantic. Conservation Letters, e12824 (2021).",NA,NA
Procellaria aequinoctialis_South Georgia,01_02_03_04_11_12,05_06_07_08_09_10,01_02_03_04_10_11_12,05_06_07_08_09,01_02_03_04_11_12,05_06_07_08_09_10,Nov-Apr,May-Oct,Oct-Apr,Harrison et al. 2021,"Harrisson, P., Perrow, M.R. & Larsson, H. Seabirds, The New Identification Guide. Lynx Edicions, Barcelona (2021).",NA,NA
